,Top 25,Top 50,Top 100,Top 200
Schizophrenia,0.011 +/- 0.014,0.021 +/- 0.013,0.03 +/- 0.009,0.052 +/- 0.006
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.09 +/- 0.111,0.09 +/- 0.111,0.09 +/- 0.111,0.14 +/- 0.116
Stevens-Johnson Syndrome,0.1 +/- 0.082,0.133 +/- 0.125,0.167 +/- 0.105,0.167 +/- 0.105
Fibrillary Astrocytoma,0.073 +/- 0.09,0.153 +/- 0.148,0.153 +/- 0.148,0.193 +/- 0.219
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Ischemia,0.04 +/- 0.08,0.04 +/- 0.08,0.04 +/- 0.08,0.04 +/- 0.08
Sarcomatoid Renal Cell Carcinoma,0.024 +/- 0.032,0.032 +/- 0.047,0.047 +/- 0.046,0.088 +/- 0.051
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Encephalopathy, Toxic",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.073 +/- 0.09
Epileptic encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.033 +/- 0.067
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.042 +/- 0.052,0.124 +/- 0.12,0.147 +/- 0.104,0.147 +/- 0.104
Neoplastic Cell Transformation,0.023 +/- 0.019,0.04 +/- 0.025,0.073 +/- 0.031,0.09 +/- 0.042
Cocaine-Related Disorders,0.058 +/- 0.037,0.076 +/- 0.062,0.106 +/- 0.08,0.117 +/- 0.067
Crohn's disease of the ileum,0.022 +/- 0.044,0.022 +/- 0.044,0.022 +/- 0.044,0.022 +/- 0.044
Early Pregnancy Loss,0.03 +/- 0.04,0.058 +/- 0.049,0.067 +/- 0.05,0.077 +/- 0.068
Colorectal Carcinoma,0.01 +/- 0.008,0.027 +/- 0.016,0.043 +/- 0.021,0.063 +/- 0.021
Bilateral Wilms Tumor,0.0 +/- 0.0,0.0 +/- 0.0,0.033 +/- 0.067,0.1 +/- 0.082
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.0 +/- 0.0,0.4 +/- 0.374,0.4 +/- 0.374
"Fibrosis, Liver",0.011 +/- 0.021,0.032 +/- 0.027,0.032 +/- 0.027,0.032 +/- 0.027
Acute Confusional Senile Dementia,0.065 +/- 0.061,0.076 +/- 0.063,0.088 +/- 0.074,0.109 +/- 0.098
"Hyalinosis, Segmental Glomerular",0.067 +/- 0.082,0.067 +/- 0.082,0.167 +/- 0.149,0.2 +/- 0.163
Lymphatic Metastasis,0.0 +/- 0.0,0.08 +/- 0.16,0.08 +/- 0.16,0.17 +/- 0.154
Chemically-Induced Liver Toxicity,0.006 +/- 0.012,0.009 +/- 0.012,0.05 +/- 0.031,0.062 +/- 0.034
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.1 +/- 0.122
Calcinosis,0.122 +/- 0.079,0.122 +/- 0.079,0.144 +/- 0.053,0.144 +/- 0.053
Simple Partial Status Epilepticus,0.0 +/- 0.0,0.014 +/- 0.029,0.014 +/- 0.029,0.03 +/- 0.036
Desmoplastic Medulloblastoma,0.025 +/- 0.05,0.025 +/- 0.05,0.075 +/- 0.1,0.167 +/- 0.068
"Carcinoma, Ovarian Epithelial",0.067 +/- 0.082,0.14 +/- 0.127,0.14 +/- 0.127,0.14 +/- 0.127
Microcalcification,0.122 +/- 0.079,0.122 +/- 0.079,0.144 +/- 0.053,0.144 +/- 0.053
Ovarian Mucinous Adenocarcinoma,0.029 +/- 0.057,0.029 +/- 0.057,0.062 +/- 0.076,0.09 +/- 0.117
Diabetes Mellitus,0.0 +/- 0.0,0.033 +/- 0.067,0.033 +/- 0.067,0.062 +/- 0.076
Female infertility,0.073 +/- 0.09,0.147 +/- 0.147,0.26 +/- 0.278,0.26 +/- 0.278
Malignant neoplasm of breast,0.022 +/- 0.008,0.027 +/- 0.006,0.031 +/- 0.01,0.045 +/- 0.011
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
