,Top 25,Top 50,Top 100,Top 200
Mouth Neoplasms,0.04 +/- 0.036,0.024 +/- 0.02,0.016 +/- 0.015,0.01 +/- 0.008
Amyotrophic Lateral Sclerosis,0.032 +/- 0.047,0.02 +/- 0.022,0.012 +/- 0.01,0.008 +/- 0.007
Ovarian Serous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.005 +/- 0.003
"Condition, Preneoplastic",0.008 +/- 0.016,0.008 +/- 0.01,0.008 +/- 0.004,0.008 +/- 0.005
Mycoplasma-Induced Stevens-Johnson Syndrome,0.024 +/- 0.02,0.016 +/- 0.008,0.012 +/- 0.004,0.006 +/- 0.002
Respiratory Hypersensitivity,0.016 +/- 0.02,0.016 +/- 0.008,0.008 +/- 0.004,0.004 +/- 0.002
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.04 +/- 0.036,0.028 +/- 0.02,0.014 +/- 0.01,0.007 +/- 0.005
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.088 +/- 0.059,0.056 +/- 0.034,0.03 +/- 0.018,0.02 +/- 0.01
Disorder of eye,0.048 +/- 0.03,0.028 +/- 0.02,0.024 +/- 0.014,0.015 +/- 0.009
Childhood Acute Lymphoblastic Leukemia,0.024 +/- 0.032,0.012 +/- 0.016,0.01 +/- 0.013,0.006 +/- 0.007
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
Paroxysmal atrial fibrillation,0.0 +/- 0.0,0.004 +/- 0.008,0.006 +/- 0.012,0.005 +/- 0.005
"Mammary Neoplasms, Human",0.144 +/- 0.054,0.092 +/- 0.037,0.062 +/- 0.029,0.039 +/- 0.015
Spinocerebellar Ataxia Type 4,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
Myocardial Reperfusion Injury,0.032 +/- 0.047,0.032 +/- 0.016,0.024 +/- 0.015,0.013 +/- 0.009
Left Middle Cerebral Artery Infarction,0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.004 +/- 0.004
IGA Glomerulonephritis,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
Glioblastoma Multiforme,0.024 +/- 0.032,0.02 +/- 0.013,0.018 +/- 0.012,0.015 +/- 0.009
Schizophrenia,0.048 +/- 0.059,0.064 +/- 0.048,0.054 +/- 0.016,0.053 +/- 0.007
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.004 +/- 0.004
Stevens-Johnson Syndrome,0.024 +/- 0.032,0.016 +/- 0.015,0.01 +/- 0.006,0.006 +/- 0.002
Fibrillary Astrocytoma,0.008 +/- 0.016,0.008 +/- 0.01,0.008 +/- 0.007,0.007 +/- 0.004
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
Ischemia,0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.005 +/- 0.004
Sarcomatoid Renal Cell Carcinoma,0.024 +/- 0.032,0.024 +/- 0.023,0.012 +/- 0.012,0.01 +/- 0.007
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.002
"Encephalopathy, Toxic",0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.008,0.003 +/- 0.004
Epileptic encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.016 +/- 0.02,0.012 +/- 0.016,0.014 +/- 0.01,0.01 +/- 0.004
Neoplastic Cell Transformation,0.0 +/- 0.0,0.008 +/- 0.01,0.016 +/- 0.008,0.02 +/- 0.011
Cocaine-Related Disorders,0.04 +/- 0.025,0.032 +/- 0.027,0.02 +/- 0.017,0.013 +/- 0.007
Crohn's disease of the ileum,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
Early Pregnancy Loss,0.016 +/- 0.02,0.02 +/- 0.031,0.012 +/- 0.015,0.009 +/- 0.007
Colorectal Carcinoma,0.08 +/- 0.057,0.052 +/- 0.024,0.048 +/- 0.019,0.041 +/- 0.015
Bilateral Wilms Tumor,0.0 +/- 0.0,0.004 +/- 0.008,0.004 +/- 0.005,0.004 +/- 0.002
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.008 +/- 0.01,0.008 +/- 0.007,0.004 +/- 0.004
"Fibrosis, Liver",0.024 +/- 0.032,0.02 +/- 0.022,0.01 +/- 0.011,0.007 +/- 0.007
Acute Confusional Senile Dementia,0.04 +/- 0.051,0.024 +/- 0.029,0.014 +/- 0.014,0.008 +/- 0.006
"Hyalinosis, Segmental Glomerular",0.016 +/- 0.02,0.016 +/- 0.02,0.008 +/- 0.01,0.007 +/- 0.004
Lymphatic Metastasis,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008,0.005 +/- 0.003
Chemically-Induced Liver Toxicity,0.0 +/- 0.0,0.012 +/- 0.016,0.024 +/- 0.019,0.026 +/- 0.015
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002
Calcinosis,0.016 +/- 0.02,0.012 +/- 0.01,0.01 +/- 0.006,0.009 +/- 0.004
Simple Partial Status Epilepticus,0.008 +/- 0.016,0.004 +/- 0.008,0.006 +/- 0.005,0.004 +/- 0.004
Desmoplastic Medulloblastoma,0.016 +/- 0.02,0.008 +/- 0.01,0.012 +/- 0.007,0.007 +/- 0.002
"Carcinoma, Ovarian Epithelial",0.016 +/- 0.02,0.012 +/- 0.01,0.008 +/- 0.007,0.004 +/- 0.004
Microcalcification,0.016 +/- 0.02,0.012 +/- 0.01,0.008 +/- 0.004,0.008 +/- 0.002
Ovarian Mucinous Adenocarcinoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.009,0.005 +/- 0.004
Diabetes Mellitus,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
Female infertility,0.016 +/- 0.02,0.024 +/- 0.02,0.014 +/- 0.014,0.007 +/- 0.007
Malignant neoplasm of breast,0.112 +/- 0.069,0.076 +/- 0.032,0.064 +/- 0.015,0.055 +/- 0.009
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
