,Top 25,Top 50,Top 100,Top 200
Chromophobe Renal Cell Carcinoma,0.016 +/- 0.019,0.021 +/- 0.02,0.022 +/- 0.019,0.02 +/- 0.01
Anaplastic carcinoma,0.042 +/- 0.013,0.039 +/- 0.012,0.036 +/- 0.021,0.033 +/- 0.019
Spontaneous abortion,0.018 +/- 0.022,0.028 +/- 0.044,0.023 +/- 0.023,0.016 +/- 0.013
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.004 +/- 0.005
Cocaine Abuse,0.06 +/- 0.022,0.05 +/- 0.032,0.033 +/- 0.018,0.027 +/- 0.013
Acute Cerebrovascular Accidents,0.056 +/- 0.035,0.033 +/- 0.021,0.018 +/- 0.011,0.011 +/- 0.009
Brain Ischemia,0.076 +/- 0.043,0.052 +/- 0.016,0.036 +/- 0.011,0.023 +/- 0.013
"Hyperalgesia, Primary",0.039 +/- 0.036,0.036 +/- 0.023,0.024 +/- 0.014,0.017 +/- 0.009
Nonsyndromic Deafness,0.011 +/- 0.021,0.006 +/- 0.013,0.007 +/- 0.014,0.004 +/- 0.008
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.002 +/- 0.004
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.006 +/- 0.013,0.007 +/- 0.009,0.011 +/- 0.009
Amphetamine Addiction,0.01 +/- 0.02,0.006 +/- 0.012,0.01 +/- 0.014,0.007 +/- 0.009
"Carcinoma, Cribriform",0.034 +/- 0.032,0.039 +/- 0.038,0.046 +/- 0.012,0.034 +/- 0.011
Mouth Neoplasms,0.056 +/- 0.05,0.039 +/- 0.032,0.029 +/- 0.027,0.019 +/- 0.016
Amyotrophic Lateral Sclerosis,0.043 +/- 0.063,0.032 +/- 0.035,0.021 +/- 0.017,0.015 +/- 0.013
Ovarian Serous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008,0.01 +/- 0.006
"Condition, Preneoplastic",0.009 +/- 0.019,0.012 +/- 0.014,0.013 +/- 0.007,0.015 +/- 0.009
Mycoplasma-Induced Stevens-Johnson Syndrome,0.039 +/- 0.032,0.029 +/- 0.014,0.023 +/- 0.008,0.012 +/- 0.004
Respiratory Hypersensitivity,0.028 +/- 0.034,0.029 +/- 0.015,0.015 +/- 0.008,0.008 +/- 0.004
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.069 +/- 0.062,0.052 +/- 0.038,0.027 +/- 0.02,0.014 +/- 0.01
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.136 +/- 0.091,0.098 +/- 0.06,0.056 +/- 0.033,0.039 +/- 0.019
Disorder of eye,0.036 +/- 0.022,0.031 +/- 0.022,0.034 +/- 0.019,0.025 +/- 0.015
Childhood Acute Lymphoblastic Leukemia,0.034 +/- 0.045,0.02 +/- 0.026,0.018 +/- 0.023,0.011 +/- 0.014
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
Paroxysmal atrial fibrillation,0.0 +/- 0.0,0.005 +/- 0.01,0.009 +/- 0.018,0.009 +/- 0.009
"Mammary Neoplasms, Human",0.058 +/- 0.021,0.062 +/- 0.025,0.062 +/- 0.029,0.052 +/- 0.019
Spinocerebellar Ataxia Type 4,0.012 +/- 0.025,0.007 +/- 0.014,0.004 +/- 0.007,0.002 +/- 0.004
Myocardial Reperfusion Injury,0.043 +/- 0.062,0.053 +/- 0.026,0.043 +/- 0.027,0.025 +/- 0.017
Left Middle Cerebral Artery Infarction,0.012 +/- 0.025,0.014 +/- 0.017,0.007 +/- 0.009,0.008 +/- 0.007
IGA Glomerulonephritis,0.0 +/- 0.0,0.007 +/- 0.014,0.004 +/- 0.007,0.002 +/- 0.004
Glioblastoma Multiforme,0.026 +/- 0.034,0.028 +/- 0.018,0.03 +/- 0.019,0.027 +/- 0.016
Schizophrenia,0.013 +/- 0.016,0.03 +/- 0.023,0.041 +/- 0.013,0.058 +/- 0.008
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.013 +/- 0.027,0.007 +/- 0.015,0.004 +/- 0.008,0.008 +/- 0.007
Stevens-Johnson Syndrome,0.039 +/- 0.052,0.029 +/- 0.027,0.019 +/- 0.012,0.012 +/- 0.004
Fibrillary Astrocytoma,0.013 +/- 0.027,0.014 +/- 0.018,0.015 +/- 0.014,0.014 +/- 0.008
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007,0.002 +/- 0.004
Ischemia,0.013 +/- 0.027,0.014 +/- 0.018,0.008 +/- 0.009,0.01 +/- 0.009
Sarcomatoid Renal Cell Carcinoma,0.024 +/- 0.032,0.032 +/- 0.031,0.019 +/- 0.019,0.018 +/- 0.013
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.005
"Encephalopathy, Toxic",0.0 +/- 0.0,0.0 +/- 0.0,0.011 +/- 0.015,0.006 +/- 0.008
Epileptic encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.023 +/- 0.028,0.02 +/- 0.027,0.026 +/- 0.019,0.019 +/- 0.009
Neoplastic Cell Transformation,0.0 +/- 0.0,0.011 +/- 0.013,0.026 +/- 0.013,0.036 +/- 0.02
Cocaine-Related Disorders,0.044 +/- 0.027,0.045 +/- 0.038,0.033 +/- 0.027,0.024 +/- 0.012
Crohn's disease of the ileum,0.012 +/- 0.024,0.007 +/- 0.014,0.004 +/- 0.007,0.002 +/- 0.004
Early Pregnancy Loss,0.018 +/- 0.022,0.028 +/- 0.044,0.02 +/- 0.025,0.016 +/- 0.013
Colorectal Carcinoma,0.025 +/- 0.018,0.028 +/- 0.013,0.041 +/- 0.016,0.049 +/- 0.018
Bilateral Wilms Tumor,0.0 +/- 0.0,0.007 +/- 0.014,0.008 +/- 0.009,0.008 +/- 0.004
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.015 +/- 0.019,0.016 +/- 0.015,0.008 +/- 0.007
"Fibrosis, Liver",0.027 +/- 0.036,0.029 +/- 0.032,0.017 +/- 0.018,0.013 +/- 0.012
Acute Confusional Senile Dementia,0.046 +/- 0.057,0.035 +/- 0.043,0.024 +/- 0.023,0.015 +/- 0.011
"Hyalinosis, Segmental Glomerular",0.026 +/- 0.032,0.029 +/- 0.035,0.015 +/- 0.018,0.014 +/- 0.008
Lymphatic Metastasis,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.015,0.01 +/- 0.006
Chemically-Induced Liver Toxicity,0.0 +/- 0.0,0.01 +/- 0.014,0.029 +/- 0.022,0.039 +/- 0.022
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008,0.004 +/- 0.005
Calcinosis,0.024 +/- 0.029,0.02 +/- 0.017,0.018 +/- 0.012,0.017 +/- 0.007
Simple Partial Status Epilepticus,0.011 +/- 0.021,0.006 +/- 0.013,0.011 +/- 0.009,0.007 +/- 0.007
Desmoplastic Medulloblastoma,0.024 +/- 0.029,0.014 +/- 0.017,0.022 +/- 0.014,0.013 +/- 0.005
"Carcinoma, Ovarian Epithelial",0.026 +/- 0.032,0.022 +/- 0.018,0.015 +/- 0.014,0.008 +/- 0.007
Microcalcification,0.024 +/- 0.029,0.021 +/- 0.017,0.015 +/- 0.007,0.015 +/- 0.005
Ovarian Mucinous Adenocarcinoma,0.013 +/- 0.026,0.021 +/- 0.029,0.019 +/- 0.017,0.01 +/- 0.009
Diabetes Mellitus,0.0 +/- 0.0,0.007 +/- 0.014,0.004 +/- 0.008,0.004 +/- 0.005
Female infertility,0.026 +/- 0.032,0.043 +/- 0.036,0.027 +/- 0.026,0.014 +/- 0.013
Malignant neoplasm of breast,0.024 +/- 0.015,0.03 +/- 0.013,0.042 +/- 0.01,0.054 +/- 0.009
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
