,Top 25,Top 50,Top 100,Top 200
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.005 +/- 0.009,0.015 +/- 0.015
"Adenocarcinoma, Basal Cell",0.028 +/- 0.024,0.049 +/- 0.024,0.083 +/- 0.025,0.105 +/- 0.03
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.009,0.004 +/- 0.009
Alzheimer's Disease,0.104 +/- 0.087,0.109 +/- 0.096,0.109 +/- 0.096,0.109 +/- 0.096
"Epilepsy, Cryptogenic",0.034 +/- 0.032,0.04 +/- 0.036,0.045 +/- 0.031,0.054 +/- 0.036
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.02 +/- 0.028,0.027 +/- 0.026
Allodynia,0.032 +/- 0.029,0.039 +/- 0.036,0.044 +/- 0.032,0.058 +/- 0.041
Insulin Sensitivity,0.073 +/- 0.072,0.073 +/- 0.072,0.073 +/- 0.072,0.094 +/- 0.072
Chromophobe Renal Cell Carcinoma,0.021 +/- 0.028,0.02 +/- 0.027,0.032 +/- 0.032,0.042 +/- 0.032
Anaplastic carcinoma,0.049 +/- 0.019,0.041 +/- 0.016,0.055 +/- 0.028,0.075 +/- 0.035
Spontaneous abortion,0.03 +/- 0.042,0.04 +/- 0.036,0.044 +/- 0.036,0.044 +/- 0.036
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Cocaine Abuse,0.044 +/- 0.029,0.057 +/- 0.023,0.073 +/- 0.031,0.082 +/- 0.038
Acute Cerebrovascular Accidents,0.125 +/- 0.119,0.125 +/- 0.119,0.131 +/- 0.124,0.131 +/- 0.124
Brain Ischemia,0.085 +/- 0.062,0.085 +/- 0.062,0.105 +/- 0.059,0.121 +/- 0.059
"Hyperalgesia, Primary",0.033 +/- 0.03,0.039 +/- 0.035,0.049 +/- 0.031,0.058 +/- 0.04
Nonsyndromic Deafness,0.033 +/- 0.066,0.033 +/- 0.066,0.033 +/- 0.066,0.033 +/- 0.066
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.009,0.008 +/- 0.01
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.007 +/- 0.014,0.007 +/- 0.014,0.012 +/- 0.015
Amphetamine Addiction,0.0 +/- 0.0,0.007 +/- 0.013,0.012 +/- 0.015,0.022 +/- 0.027
"Carcinoma, Cribriform",0.027 +/- 0.023,0.047 +/- 0.024,0.08 +/- 0.026,0.102 +/- 0.03
Mouth Neoplasms,0.093 +/- 0.095,0.093 +/- 0.095,0.093 +/- 0.095,0.117 +/- 0.1
Amyotrophic Lateral Sclerosis,0.077 +/- 0.154,0.085 +/- 0.151,0.085 +/- 0.151,0.09 +/- 0.148
Ovarian Serous Adenocarcinoma,0.02 +/- 0.041,0.02 +/- 0.041,0.02 +/- 0.041,0.041 +/- 0.038
"Condition, Preneoplastic",0.017 +/- 0.034,0.017 +/- 0.034,0.026 +/- 0.042,0.029 +/- 0.04
Mycoplasma-Induced Stevens-Johnson Syndrome,0.104 +/- 0.073,0.104 +/- 0.073,0.113 +/- 0.061,0.122 +/- 0.068
Respiratory Hypersensitivity,0.099 +/- 0.151,0.128 +/- 0.135,0.128 +/- 0.135,0.128 +/- 0.135
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.168 +/- 0.185,0.168 +/- 0.185,0.192 +/- 0.199,0.192 +/- 0.199
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.209 +/- 0.141,0.229 +/- 0.149,0.229 +/- 0.149,0.274 +/- 0.161
Disorder of eye,0.173 +/- 0.09,0.125 +/- 0.064,0.134 +/- 0.068,0.136 +/- 0.069
Childhood Acute Lymphoblastic Leukemia,0.043 +/- 0.062,0.043 +/- 0.062,0.043 +/- 0.062,0.049 +/- 0.064
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.016 +/- 0.021,0.014 +/- 0.018,0.017 +/- 0.017,0.026 +/- 0.013
"Mammary Neoplasms, Human",0.184 +/- 0.058,0.122 +/- 0.032,0.084 +/- 0.028,0.088 +/- 0.023
Spinocerebellar Ataxia Type 4,0.021 +/- 0.043,0.021 +/- 0.043,0.021 +/- 0.043,0.028 +/- 0.041
Myocardial Reperfusion Injury,0.036 +/- 0.033,0.042 +/- 0.04,0.063 +/- 0.044,0.067 +/- 0.041
Left Middle Cerebral Artery Infarction,0.014 +/- 0.028,0.025 +/- 0.031,0.025 +/- 0.031,0.033 +/- 0.028
IGA Glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.009 +/- 0.018,0.017 +/- 0.021
Glioblastoma Multiforme,0.013 +/- 0.016,0.029 +/- 0.018,0.041 +/- 0.033,0.071 +/- 0.04
Schizophrenia,0.094 +/- 0.128,0.08 +/- 0.07,0.06 +/- 0.042,0.056 +/- 0.025
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.101 +/- 0.151,0.101 +/- 0.151,0.101 +/- 0.151,0.111 +/- 0.146
Stevens-Johnson Syndrome,0.069 +/- 0.068,0.069 +/- 0.068,0.079 +/- 0.061,0.079 +/- 0.061
Fibrillary Astrocytoma,0.082 +/- 0.131,0.095 +/- 0.126,0.107 +/- 0.149,0.127 +/- 0.163
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Ischemia,0.016 +/- 0.031,0.016 +/- 0.031,0.016 +/- 0.031,0.024 +/- 0.031
Sarcomatoid Renal Cell Carcinoma,0.018 +/- 0.022,0.017 +/- 0.022,0.033 +/- 0.029,0.053 +/- 0.04
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Encephalopathy, Toxic",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.009 +/- 0.018
Epileptic encephalopathy,0.013 +/- 0.026,0.013 +/- 0.026,0.013 +/- 0.026,0.013 +/- 0.026
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.027 +/- 0.033,0.062 +/- 0.054,0.062 +/- 0.054,0.069 +/- 0.047
Neoplastic Cell Transformation,0.019 +/- 0.016,0.027 +/- 0.019,0.038 +/- 0.019,0.051 +/- 0.021
Cocaine-Related Disorders,0.049 +/- 0.037,0.059 +/- 0.054,0.071 +/- 0.06,0.075 +/- 0.056
Crohn's disease of the ileum,0.013 +/- 0.025,0.013 +/- 0.025,0.013 +/- 0.025,0.013 +/- 0.025
Early Pregnancy Loss,0.023 +/- 0.031,0.039 +/- 0.035,0.044 +/- 0.034,0.044 +/- 0.034
Colorectal Carcinoma,0.043 +/- 0.031,0.063 +/- 0.036,0.056 +/- 0.021,0.058 +/- 0.019
Bilateral Wilms Tumor,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.019,0.018 +/- 0.022
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.014 +/- 0.028,0.05 +/- 0.048,0.05 +/- 0.048
"Fibrosis, Liver",0.007 +/- 0.015,0.018 +/- 0.015,0.018 +/- 0.015,0.022 +/- 0.021
Acute Confusional Senile Dementia,0.05 +/- 0.069,0.061 +/- 0.076,0.074 +/- 0.078,0.082 +/- 0.087
"Hyalinosis, Segmental Glomerular",0.053 +/- 0.075,0.053 +/- 0.075,0.083 +/- 0.092,0.1 +/- 0.083
Lymphatic Metastasis,0.0 +/- 0.0,0.026 +/- 0.051,0.026 +/- 0.051,0.026 +/- 0.051
Chemically-Induced Liver Toxicity,0.012 +/- 0.024,0.016 +/- 0.015,0.031 +/- 0.02,0.038 +/- 0.021
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.011 +/- 0.022
Calcinosis,0.102 +/- 0.066,0.102 +/- 0.066,0.102 +/- 0.066,0.116 +/- 0.057
Simple Partial Status Epilepticus,0.0 +/- 0.0,0.007 +/- 0.014,0.007 +/- 0.014,0.012 +/- 0.015
Desmoplastic Medulloblastoma,0.0 +/- 0.0,0.019 +/- 0.038,0.027 +/- 0.038,0.056 +/- 0.026
"Carcinoma, Ovarian Epithelial",0.03 +/- 0.036,0.052 +/- 0.049,0.052 +/- 0.049,0.052 +/- 0.049
Microcalcification,0.101 +/- 0.064,0.101 +/- 0.064,0.109 +/- 0.053,0.115 +/- 0.053
Ovarian Mucinous Adenocarcinoma,0.015 +/- 0.03,0.015 +/- 0.03,0.034 +/- 0.046,0.051 +/- 0.046
Diabetes Mellitus,0.0 +/- 0.0,0.012 +/- 0.024,0.02 +/- 0.025,0.02 +/- 0.025
Female infertility,0.028 +/- 0.034,0.055 +/- 0.052,0.088 +/- 0.085,0.088 +/- 0.085
Malignant neoplasm of breast,0.199 +/- 0.074,0.137 +/- 0.04,0.095 +/- 0.031,0.068 +/- 0.017
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.009,0.004 +/- 0.009
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
