,Top 25,Top 50,Top 100,Top 200
Amyotrophic Lateral Sclerosis,0.067 +/- 0.097,0.085 +/- 0.091,0.102 +/- 0.081,0.135 +/- 0.112
Ovarian Serous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.04 +/- 0.08,0.23 +/- 0.16
"Condition, Preneoplastic",0.011 +/- 0.022,0.021 +/- 0.026,0.042 +/- 0.021,0.083 +/- 0.052
Mycoplasma-Induced Stevens-Johnson Syndrome,0.107 +/- 0.088,0.14 +/- 0.071,0.207 +/- 0.065,0.207 +/- 0.065
Respiratory Hypersensitivity,0.1 +/- 0.122,0.19 +/- 0.097,0.19 +/- 0.097,0.19 +/- 0.097
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.25 +/- 0.224,0.34 +/- 0.26,0.34 +/- 0.26,0.34 +/- 0.26
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.304 +/- 0.205,0.382 +/- 0.225,0.411 +/- 0.237,0.558 +/- 0.232
Disorder of eye,0.029 +/- 0.018,0.034 +/- 0.024,0.059 +/- 0.033,0.074 +/- 0.043
Childhood Acute Lymphoblastic Leukemia,0.056 +/- 0.074,0.056 +/- 0.074,0.095 +/- 0.118,0.115 +/- 0.141
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.015 +/- 0.031
Paroxysmal atrial fibrillation,0.0 +/- 0.0,0.006 +/- 0.013,0.019 +/- 0.039,0.034 +/- 0.035
"Mammary Neoplasms, Human",0.036 +/- 0.013,0.046 +/- 0.018,0.062 +/- 0.029,0.079 +/- 0.029
Spinocerebellar Ataxia Type 4,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057
Myocardial Reperfusion Injury,0.068 +/- 0.092,0.158 +/- 0.085,0.232 +/- 0.145,0.248 +/- 0.163
Left Middle Cerebral Artery Infarction,0.029 +/- 0.057,0.057 +/- 0.07,0.057 +/- 0.07,0.119 +/- 0.109
IGA Glomerulonephritis,0.0 +/- 0.0,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057
Glioblastoma Multiforme,0.027 +/- 0.036,0.048 +/- 0.029,0.085 +/- 0.051,0.141 +/- 0.078
Schizophrenia,0.007 +/- 0.009,0.02 +/- 0.015,0.033 +/- 0.01,0.064 +/- 0.009
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.04 +/- 0.08,0.04 +/- 0.08,0.04 +/- 0.08,0.19 +/- 0.185
Stevens-Johnson Syndrome,0.1 +/- 0.133,0.133 +/- 0.125,0.167 +/- 0.105,0.2 +/- 0.067
Fibrillary Astrocytoma,0.04 +/- 0.08,0.073 +/- 0.09,0.153 +/- 0.148,0.273 +/- 0.164
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.015 +/- 0.031,0.015 +/- 0.031
Ischemia,0.04 +/- 0.08,0.073 +/- 0.09,0.073 +/- 0.09,0.18 +/- 0.165
Sarcomatoid Renal Cell Carcinoma,0.024 +/- 0.032,0.047 +/- 0.046,0.047 +/- 0.046,0.079 +/- 0.054
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.08 +/- 0.098
"Encephalopathy, Toxic",0.0 +/- 0.0,0.0 +/- 0.0,0.107 +/- 0.137,0.107 +/- 0.137
Epileptic encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.042 +/- 0.052,0.064 +/- 0.088,0.147 +/- 0.104,0.211 +/- 0.093
Neoplastic Cell Transformation,0.0 +/- 0.0,0.016 +/- 0.02,0.066 +/- 0.036,0.16 +/- 0.087
Cocaine-Related Disorders,0.048 +/- 0.029,0.076 +/- 0.062,0.095 +/- 0.076,0.127 +/- 0.059
Crohn's disease of the ileum,0.022 +/- 0.044,0.022 +/- 0.044,0.022 +/- 0.044,0.022 +/- 0.044
Early Pregnancy Loss,0.02 +/- 0.024,0.05 +/- 0.077,0.059 +/- 0.074,0.086 +/- 0.072
Colorectal Carcinoma,0.015 +/- 0.011,0.019 +/- 0.009,0.036 +/- 0.014,0.061 +/- 0.022
Bilateral Wilms Tumor,0.0 +/- 0.0,0.033 +/- 0.067,0.067 +/- 0.082,0.133 +/- 0.067
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.2 +/- 0.245,0.4 +/- 0.374,0.4 +/- 0.374
"Fibrosis, Liver",0.031 +/- 0.042,0.053 +/- 0.058,0.053 +/- 0.058,0.074 +/- 0.071
Acute Confusional Senile Dementia,0.054 +/- 0.066,0.065 +/- 0.08,0.076 +/- 0.074,0.088 +/- 0.065
"Hyalinosis, Segmental Glomerular",0.067 +/- 0.082,0.133 +/- 0.163,0.133 +/- 0.163,0.25 +/- 0.129
Lymphatic Metastasis,0.0 +/- 0.0,0.0 +/- 0.0,0.08 +/- 0.16,0.21 +/- 0.128
Chemically-Induced Liver Toxicity,0.0 +/- 0.0,0.009 +/- 0.012,0.037 +/- 0.028,0.08 +/- 0.043
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.1,0.1 +/- 0.122
Calcinosis,0.047 +/- 0.058,0.069 +/- 0.057,0.119 +/- 0.079,0.217 +/- 0.096
Simple Partial Status Epilepticus,0.015 +/- 0.031,0.015 +/- 0.031,0.045 +/- 0.037,0.059 +/- 0.054
Desmoplastic Medulloblastoma,0.047 +/- 0.058,0.047 +/- 0.058,0.144 +/- 0.095,0.167 +/- 0.068
"Carcinoma, Ovarian Epithelial",0.067 +/- 0.082,0.107 +/- 0.088,0.14 +/- 0.127,0.14 +/- 0.127
Microcalcification,0.047 +/- 0.058,0.072 +/- 0.059,0.097 +/- 0.049,0.192 +/- 0.061
Ovarian Mucinous Adenocarcinoma,0.033 +/- 0.067,0.1 +/- 0.133,0.157 +/- 0.139,0.157 +/- 0.139
Diabetes Mellitus,0.0 +/- 0.0,0.033 +/- 0.067,0.033 +/- 0.067,0.062 +/- 0.076
Female infertility,0.073 +/- 0.09,0.22 +/- 0.201,0.26 +/- 0.278,0.26 +/- 0.278
Malignant neoplasm of breast,0.014 +/- 0.008,0.019 +/- 0.008,0.031 +/- 0.007,0.054 +/- 0.009
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
