,Top 25,Top 50,Top 100,Top 200
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.016 +/- 0.015,0.01 +/- 0.006,0.008 +/- 0.004,0.01 +/- 0.005
"Mammary Neoplasms, Human",0.084 +/- 0.039,0.056 +/- 0.027,0.034 +/- 0.015,0.019 +/- 0.006
Spinocerebellar Ataxia Type 4,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002,0.006 +/- 0.011
Myocardial Reperfusion Injury,0.016 +/- 0.015,0.016 +/- 0.008,0.008 +/- 0.004,0.016 +/- 0.012
Left Middle Cerebral Artery Infarction,0.008 +/- 0.01,0.004 +/- 0.005,0.002 +/- 0.002,0.006 +/- 0.012
IGA Glomerulonephritis,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002,0.0 +/- 0.0
Glioblastoma Multiforme,0.02 +/- 0.013,0.018 +/- 0.015,0.015 +/- 0.009,0.02 +/- 0.014
Schizophrenia,0.06 +/- 0.033,0.046 +/- 0.012,0.044 +/- 0.007,0.017 +/- 0.003
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.008 +/- 0.01,0.004 +/- 0.005,0.002 +/- 0.002,0.018 +/- 0.022
Stevens-Johnson Syndrome,0.004 +/- 0.008,0.004 +/- 0.005,0.004 +/- 0.002,0.007 +/- 0.013
Fibrillary Astrocytoma,0.016 +/- 0.015,0.008 +/- 0.007,0.004 +/- 0.004,0.015 +/- 0.019
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Ischemia,0.004 +/- 0.008,0.004 +/- 0.005,0.002 +/- 0.002,0.007 +/- 0.014
Sarcomatoid Renal Cell Carcinoma,0.008 +/- 0.01,0.014 +/- 0.012,0.011 +/- 0.007,0.012 +/- 0.011
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Encephalopathy, Toxic",0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002,0.0 +/- 0.0
Epileptic encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.024 +/- 0.023,0.014 +/- 0.01,0.007 +/- 0.005,0.026 +/- 0.025
Neoplastic Cell Transformation,0.02 +/- 0.013,0.018 +/- 0.007,0.011 +/- 0.005,0.016 +/- 0.007
Cocaine-Related Disorders,0.028 +/- 0.02,0.022 +/- 0.017,0.012 +/- 0.007,0.019 +/- 0.015
Crohn's disease of the ileum,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002,0.005 +/- 0.009
Early Pregnancy Loss,0.024 +/- 0.02,0.014 +/- 0.01,0.007 +/- 0.005,0.013 +/- 0.009
Colorectal Carcinoma,0.08 +/- 0.042,0.064 +/- 0.027,0.042 +/- 0.015,0.016 +/- 0.003
Bilateral Wilms Tumor,0.004 +/- 0.008,0.006 +/- 0.005,0.003 +/- 0.002,0.0 +/- 0.0
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.008 +/- 0.007,0.004 +/- 0.004,0.0 +/- 0.0
"Fibrosis, Liver",0.012 +/- 0.01,0.006 +/- 0.005,0.003 +/- 0.002,0.006 +/- 0.005
Acute Confusional Senile Dementia,0.028 +/- 0.024,0.014 +/- 0.012,0.008 +/- 0.007,0.014 +/- 0.012
"Hyalinosis, Segmental Glomerular",0.008 +/- 0.01,0.01 +/- 0.009,0.006 +/- 0.005,0.014 +/- 0.017
Lymphatic Metastasis,0.008 +/- 0.016,0.006 +/- 0.008,0.004 +/- 0.004,0.0 +/- 0.0
Chemically-Induced Liver Toxicity,0.016 +/- 0.015,0.032 +/- 0.02,0.02 +/- 0.011,0.012 +/- 0.005
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.002,0.0 +/- 0.0
Calcinosis,0.024 +/- 0.008,0.012 +/- 0.004,0.006 +/- 0.002,0.024 +/- 0.015
Simple Partial Status Epilepticus,0.004 +/- 0.008,0.004 +/- 0.005,0.002 +/- 0.002,0.003 +/- 0.006
Desmoplastic Medulloblastoma,0.008 +/- 0.016,0.006 +/- 0.008,0.008 +/- 0.002,0.009 +/- 0.019
"Carcinoma, Ovarian Epithelial",0.016 +/- 0.015,0.008 +/- 0.007,0.004 +/- 0.004,0.02 +/- 0.016
Microcalcification,0.024 +/- 0.008,0.012 +/- 0.004,0.006 +/- 0.002,0.024 +/- 0.015
Ovarian Mucinous Adenocarcinoma,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.004,0.006 +/- 0.013
Diabetes Mellitus,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002,0.0 +/- 0.0
Female infertility,0.02 +/- 0.013,0.014 +/- 0.014,0.007 +/- 0.007,0.021 +/- 0.017
Malignant neoplasm of breast,0.112 +/- 0.024,0.066 +/- 0.019,0.045 +/- 0.008,0.026 +/- 0.002
Single Seizure,0.0 +/- 0.0,0.004 +/- 0.005,0.003 +/- 0.004,0.004 +/- 0.005
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
