,number_of_disease_genes,number_of_connected_components,percentage_of_connected_components,LCC_size,density,density_of_LCC,percentage_of_disease_genes_in_LCC,longest_shortest_path_in_interactome,longest_shortest_path_in_LCC,average_path_length,diameter_of_LCC,average_degree,clustering_coefficient,modularity,global_efficency,assortativity,number_of_community,node_connectivity,edge_connectivity,spectral_radius,spectral_gap,natural_connectivity,algebraic_connectivity,num_spanning_trees
Amyotrophic Lateral Sclerosis,57,22,0.38596491228070173,35,0.05827067669172932,0.1546218487394958,0.6140350877192983,4,4,1.3799498746867167,4,3.263157894736842,0.2442666495298074,0.021274135738235708,0.19016290726817087,-0.20321540141721503,5,0,0,9.17,6.14,5.14,-0.0,-0.0
Ovarian Serous Adenocarcinoma,23,14,0.6086956521739131,7,0.03557312252964427,0.2857142857142857,0.30434782608695654,3,6,0.8913043478260869,6,0.782608695652174,0.0,0.49999999999999994,0.06185770750988142,-0.8000000000000008,3,0,0,1.85,0.12,0.4,-0.0,0.0
"Condition, Preneoplastic",95,40,0.42105263157894735,53,0.019036954087346025,0.059506531204644414,0.5578947368421052,4,7,1.9386295928500499,7,1.7894736842105263,0.06813321181742234,0.4870588235294117,0.1081544286247554,-0.10489151545419217,9,0,0,5.23,0.92,1.49,-0.0,0.0
Mycoplasma-Induced Stevens-Johnson Syndrome,29,7,0.2413793103448276,23,0.15763546798029557,0.25296442687747034,0.7931034482758621,3,4,1.5382308845577213,4,4.413793103448276,0.2857142857142857,0.0,0.3622742200328409,-0.015873015873015872,3,0,0,7.13,3.34,3.83,-0.0,-0.0
Respiratory Hypersensitivity,22,16,0.7272727272727273,4,0.025974025974025976,0.5,0.18181818181818182,4,2,0.37121212121212116,2,0.5454545454545454,0.0,0.6111111111111112,0.03463203463203463,-0.6153846153846161,3,0,0,1.73,0.32,0.29,0.0,0.0
"Hyperglycemia, Postprandial",30,21,0.7,3,0.020689655172413793,0.6666666666666666,0.1,4,2,0.36666666666666664,2,0.6,0.0,0.8148148148148148,0.02413793103448276,-0.4999999999999998,6,0,0,1.41,0.0,0.3,-0.0,0.0
Primary microcephaly,21,7,0.3333333333333333,15,0.11904761904761904,0.23809523809523808,0.7142857142857143,3,4,1.4349206349206352,4,2.380952380952381,0.3256235827664399,0.13040000000000002,0.2793650793650791,-0.28893662728249225,3,0,0,4.85,2.89,2.0,-0.0,-0.0
"Necrotizing encephalopathy, infantile subacute, of Leigh",34,6,0.17647058823529413,29,0.34759358288770054,0.4802955665024631,0.8529411764705882,3,3,1.2860040567951316,3,11.470588235294118,0.5800311829843356,0.0,0.5306001188354127,-0.02103847491138168,3,0,0,16.4,12.52,12.88,-0.0,0.0
Disorder of eye,200,111,0.555,75,0.006984924623115578,0.04432432432432432,0.375,5,14,2.199,14,1.39,0.11581349206349206,0.7054759070441488,0.03506708339120395,0.397179378900306,21,0,0,7.1,2.28,2.16,0.02,0.0
Childhood Acute Lymphoblastic Leukemia,51,22,0.43137254901960786,30,0.04156862745098039,0.12183908045977011,0.5882352941176471,4,6,1.5385620915032683,6,2.0784313725490198,0.16352601646719292,0.20202919188323254,0.15271895424836554,-0.24849532037437028,5,0,0,5.4,1.63,1.89,-0.0,-0.0
Arsenic Encephalopathy,62,40,0.6451612903225806,20,0.012162876784769964,0.10526315789473684,0.3225806451612903,4,7,0.9870967741935485,7,0.7419354838709677,0.0,0.5671077504725898,0.04287980660270456,-0.2694805194805193,7,0,0,3.21,1.31,0.48,-0.0,0.0
Paroxysmal atrial fibrillation,144,62,0.4305555555555556,77,0.010975135975135976,0.036226930963773066,0.5347222222222222,5,8,1.8992604617604618,8,1.5694444444444444,0.051108074024740685,0.5099459628788473,0.0953759203759198,-0.22872320082448167,11,0,0,5.58,1.36,1.39,0.15,0.0
"Mammary Neoplasms, Human",495,53,0.10707070707070707,443,0.02410338199811884,0.030101222638734257,0.8949494949494949,5,6,2.4612992224730372,6,11.907070707070707,0.22702834365613367,0.005406048653459112,0.3182846003898528,-0.1259829402604439,12,0,0,33.44,17.5,27.23,0.0,-0.0
Spinocerebellar Ataxia Type 4,34,21,0.6176470588235294,14,0.0285204991087344,0.17582417582417584,0.4117647058823529,4,5,0.9915966386554622,5,0.9411764705882353,0.04901960784313725,0.306640625,0.07887700534759357,-0.6458112407211029,3,0,0,3.25,1.15,0.67,-0.0,0.0
Myocardial Reperfusion Injury,54,28,0.5185185185185185,27,0.027952480782669462,0.11396011396011396,0.5,4,8,1.7777777777777775,8,1.4814814814814814,0.10141093474426809,0.39125,0.09117167481947348,0.20287164253001594,4,0,0,5.4,2.66,1.71,-0.0,0.0
Left Middle Cerebral Artery Infarction,34,28,0.8235294117647058,6,0.012477718360071301,0.4,0.17647058823529413,4,4,0.3137254901960784,4,0.4117647058823529,0.04901960784313725,0.3775510204081633,0.019162210338680923,0.1764705882352948,3,0,0,2.33,1.23,0.27,-0.0,0.0
IGA Glomerulonephritis,34,27,0.7941176470588235,7,0.0142602495543672,0.3333333333333333,0.20588235294117646,5,4,0.38235294117647056,4,0.47058823529411764,0.04411764705882353,0.3515625,0.024806892453951276,-0.10344827586206896,3,0,0,2.47,1.36,0.31,-0.0,-0.0
Glioblastoma Multiforme,103,24,0.23300970873786409,80,0.03616980772891681,0.060126582278481014,0.7766990291262136,4,7,2.232766990291262,7,3.6893203883495147,0.1737428686072083,0.1565096952908588,0.23901489398348325,-0.15820103029344026,7,0,0,8.83,4.12,4.26,0.23,0.0
Schizophrenia,829,144,0.17370325693606756,672,0.008394375389707638,0.012716450216450216,0.8106151990349819,5,8,2.674137658682291,8,6.950542822677925,0.11973260531461598,0.021959393317792175,0.21938450196352594,-0.08609319444095143,21,0,0,25.11,12.04,18.39,0.31,0.0
Involutional Depression,24,21,0.875,3,0.010869565217391304,0.6666666666666666,0.125,5,2,0.15277777777777776,2,0.25,0.0,0.4444444444444444,0.012681159420289856,-0.4999999999999998,2,0,0,1.41,0.41,0.13,0.0,0.0
Kidney Failure,22,17,0.7727272727272727,5,0.025974025974025976,0.5,0.22727272727272727,4,3,0.33636363636363636,3,0.5454545454545454,0.0,0.2777777777777778,0.03607503607503608,-2.220446049250313e-16,3,0,0,2.14,1.14,0.31,-0.0,-0.0
Stevens-Johnson Syndrome,30,8,0.26666666666666666,23,0.1471264367816092,0.25296442687747034,0.7666666666666667,3,4,1.4869565217391303,4,4.266666666666667,0.27619047619047615,0.0,0.3381226053639848,-0.015873015873015872,3,0,0,7.13,3.34,3.8,-0.0,-0.0
Fibrillary Astrocytoma,26,8,0.3076923076923077,18,0.10461538461538461,0.21568627450980393,0.6923076923076923,3,4,1.487179487179487,4,2.6153846153846154,0.14157509157509157,0.20804498269896196,0.25871794871794884,-0.22601794340924797,4,0,0,4.54,2.0,1.69,-0.0,-0.0
Arsenic Poisoning,62,40,0.6451612903225806,20,0.012162876784769964,0.10526315789473684,0.3225806451612903,4,7,0.9870967741935485,7,0.7419354838709677,0.0,0.5671077504725898,0.04287980660270456,-0.2694805194805193,7,0,0,3.21,1.31,0.48,-0.0,0.0
Ischemia,28,17,0.6071428571428571,12,0.037037037037037035,0.21212121212121213,0.42857142857142855,4,4,0.8630952380952382,4,1.0,0.08715986394557824,0.11989795918367349,0.09523809523809518,-0.5196078431372547,3,0,0,3.46,2.08,0.79,-0.0,0.0
Sarcomatoid Renal Cell Carcinoma,123,50,0.4065040650406504,72,0.019725443156070905,0.05712050078247261,0.5853658536585366,4,9,1.8096205962059624,9,2.4065040650406506,0.09809057248081637,0.19231647187728268,0.12987746700261477,-0.10706257843716474,9,0,0,8.3,4.7,3.57,0.17,0.0
"Epilepsy, Temporal Lobe",23,22,0.9565217391304348,2,0.003952569169960474,1.0,0.08695652173913043,4,1,0.043478260869565216,1,0.08695652173913043,0.0,0.0,0.003952569169960474,,1,0,0,1.0,1.0,0.05,0.0,0.0
"Encephalopathy, Toxic",28,20,0.7142857142857143,6,0.021164021164021163,0.3333333333333333,0.21428571428571427,5,4,0.511904761904762,4,0.5714285714285714,0.0,0.5703125,0.03306878306878307,-0.3333333333333333,4,0,0,1.9,0.49,0.3,-0.0,-0.0
Epileptic encephalopathy,30,22,0.7333333333333333,6,0.01839080459770115,0.3333333333333333,0.2,3,4,0.4555555555555556,4,0.5333333333333333,0.0,0.6328125,0.027586206896551727,-0.02564102564102564,5,0,0,1.9,0.73,0.28,-0.0,0.0
Developmental Disabilities,29,25,0.8620689655172413,4,0.009852216748768473,0.5,0.13793103448275862,4,3,0.20689655172413793,3,0.27586206896551724,0.0,0.375,0.013136288998357963,0.0,3,0,0,1.62,0.62,0.15,-0.0,-0.0
Neuroblastoma,47,13,0.2765957446808511,35,0.05920444033302498,0.10756302521008404,0.7446808510638298,4,5,1.969604863221884,5,2.723404255319149,0.2634247549141166,0.3663330078125,0.2421369102682685,-0.39153866882241983,5,0,0,5.48,1.44,2.1,-0.0,0.0
Neoplastic Cell Transformation,124,21,0.1693548387096774,104,0.05179648570679255,0.07374906646751307,0.8387096774193549,4,6,2.4105148883374694,6,6.370967741935484,0.29942646161956954,0.12325909309405546,0.2878748142320188,-0.08852106558248883,7,0,0,14.99,8.61,10.17,0.07,-0.0
Cocaine-Related Disorders,100,41,0.41,55,0.020808080808080807,0.06599326599326599,0.55,4,7,1.8221212121212123,7,2.06,0.11634559884559882,0.4896785747949854,0.11088455988456139,0.13081592104975945,9,0,0,6.09,2.09,1.96,0.18,-0.0
Crohn's disease of the ileum,43,35,0.813953488372093,6,0.009966777408637873,0.4,0.13953488372093023,5,3,0.3023255813953488,3,0.4186046511627907,0.05426356589147286,0.5987654320987654,0.014765596160944998,0.0,4,0,0,2.28,0.86,0.26,-0.0,-0.0
Early Pregnancy Loss,106,68,0.6415094339622641,22,0.007367475292003594,0.09956709956709957,0.20754716981132076,5,6,0.9338669716028206,6,0.7735849056603774,0.02830188679245283,0.6508030933967875,0.022249176400119832,-0.14991928974979854,9,0,0,3.0,0.61,0.46,0.17,0.0
Colorectal Carcinoma,672,165,0.24553571428571427,504,0.008116883116883116,0.014405629713780807,0.75,6,10,2.4172217498110355,10,5.446428571428571,0.11251311275745837,0.01948654782167279,0.19273324052653157,-0.17259735934338305,16,0,0,22.3,11.78,15.79,0.08,0.0
Bilateral Wilms Tumor,29,13,0.4482758620689655,14,0.03940886699507389,0.14285714285714285,0.4827586206896552,3,7,1.6288998357963875,7,1.103448275862069,0.0,0.611328125,0.10050433966690128,-0.39278131634819535,5,0,0,2.4,0.53,0.56,-0.0,-0.0
"Carcinoid, Goblet Cell",6,6,1.0,1,0.0,0.0,0.16666666666666666,4,0,0.0,0,0.0,0.0,0.0,0.0,None,0,0,0,0.0,0.0,0.0,0.0,0.0
"Fibrosis, Liver",95,41,0.43157894736842106,50,0.018141097424412094,0.061224489795918366,0.5263157894736842,4,7,1.8981052631578947,7,1.7052631578947368,0.08671679197994987,0.48917847889041305,0.09529035354343432,0.06645056726094015,9,0,0,4.13,0.81,1.04,-0.0,-0.0
Acute Confusional Senile Dementia,89,29,0.3258426966292135,59,0.03013278855975485,0.06779661016949153,0.6629213483146067,5,7,1.8567891830127594,7,2.651685393258427,0.12434797412325499,0.3034329215742603,0.17966705579064993,-0.1584523696906633,7,0,0,7.15,3.32,2.83,-0.0,0.0
"Hyalinosis, Segmental Glomerular",27,13,0.48148148148148145,14,0.06267806267806268,0.23076923076923078,0.5185185185185185,4,6,1.2222222222222225,6,1.6296296296296295,0.2724867724867725,0.3481404958677685,0.139031339031339,-0.1481481481481479,5,0,0,4.13,2.01,1.29,-0.0,-0.0
Lymphatic Metastasis,24,13,0.5416666666666666,10,0.043478260869565216,0.2222222222222222,0.4166666666666667,4,4,1.0194444444444446,4,1.0,0.03472222222222222,0.5104166666666667,0.09390096618357492,-0.42731277533039635,3,0,0,2.62,0.86,0.58,-0.0,-0.0
Chemically-Induced Liver Toxicity,319,89,0.27899686520376177,229,0.01208572386191124,0.023404581322301388,0.7178683385579937,5,8,2.5112592572312495,8,3.843260188087774,0.08976859609319979,0.12212689178724151,0.16738349664509708,-0.06579922168496664,14,0,0,11.88,4.43,6.15,0.07,0.0
Familial Idiopathic Pulmonary Fibrosis,19,11,0.5789473684210527,6,0.05263157894736842,0.4,0.3157894736842105,4,2,0.5789473684210527,2,0.9473684210526315,0.1105263157894737,0.5185185185185185,0.07894736842105263,-0.2692307692307692,4,0,0,2.51,1.51,0.55,-0.0,-0.0
Calcinosis,42,23,0.5476190476190477,15,0.030197444831591175,0.2,0.35714285714285715,5,7,1.1031746031746033,7,1.2380952380952381,0.047619047619047616,0.5303254437869822,0.06450141032022562,0.38095238095238043,7,0,0,3.78,1.8,0.87,-0.0,-0.0
Simple Partial Status Epilepticus,67,35,0.5223880597014925,23,0.019448213478064226,0.11462450592885376,0.34328358208955223,4,9,1.54315379623621,9,1.2835820895522387,0.14875621890547264,0.6849648458626285,0.0529635372918955,-0.04805013927576408,8,0,0,3.3,0.1,0.82,-0.0,-0.0
Desmoplastic Medulloblastoma,43,18,0.4186046511627907,26,0.06090808416389812,0.16923076923076924,0.6046511627906976,3,5,1.338103756708408,5,2.558139534883721,0.28194479938665984,0.033719008264462766,0.1842377260981912,-0.1929773368349385,4,0,0,6.28,2.8,2.68,-0.0,0.0
"Carcinoma, Ovarian Epithelial",27,18,0.6666666666666666,10,0.03133903133903134,0.24444444444444444,0.37037037037037035,4,4,0.7037037037037037,4,0.8148148148148148,0.08641975308641976,0.14462809917355376,0.07288698955365625,-0.6264591439688718,3,0,0,3.11,1.77,0.62,-0.0,0.0
Microcalcification,42,23,0.5476190476190477,15,0.030197444831591175,0.2,0.35714285714285715,5,7,1.1031746031746033,7,1.2380952380952381,0.047619047619047616,0.5303254437869822,0.06450141032022562,0.38095238095238043,7,0,0,3.78,1.8,0.87,-0.0,-0.0
Ovarian Mucinous Adenocarcinoma,30,20,0.6666666666666666,6,0.022988505747126436,0.3333333333333333,0.2,3,5,0.5777777777777777,5,0.6666666666666666,0.0,0.7050000000000001,0.03264367816091954,0.19999999999999996,6,0,0,1.8,0.39,0.33,0.0,0.0
Diabetes Mellitus,32,22,0.6875,7,0.020161290322580645,0.2857142857142857,0.21875,4,6,0.75,6,0.625,0.0,0.49000000000000005,0.035416666666666666,-0.250000000000004,3,0,0,1.85,0.12,0.33,-0.0,0.0
Female infertility,27,15,0.5555555555555556,12,0.06552706552706553,0.3333333333333333,0.4444444444444444,4,4,0.8148148148148148,4,1.7037037037037037,0.16419753086419753,0.08317580340264646,0.12108262108262104,0.18986254295532615,4,0,0,4.31,2.36,1.4,-0.0,-0.0
Malignant neoplasm of breast,1024,143,0.1396484375,882,0.011543102394916911,0.015561578396019777,0.861328125,6,7,2.499895921910431,7,11.80859375,0.16782131985026646,0.0016521395292392808,0.27643938757601205,-0.1348550370750394,9,0,0,40.97,22.12,34.04,0.0,-0.0
