,Top 25,Top 50,Top 100,Top 200
multiple sclerosis,0.02857142857142857 +/- 0.03499271061118826,0.02857142857142857 +/- 0.03499271061118826,0.07142857142857142 +/- 0.07824607964359515,0.1582417582417582 +/- 0.10410021831024212
muscular dystrophies,0.18095238095238092 +/- 0.11818736805705578,0.18095238095238092 +/- 0.11818736805705578,0.23809523809523805 +/- 0.1974899176507402,0.26666666666666666 +/- 0.19189944456771318
mycobacterium infections,0.21000000000000002 +/- 0.21999999999999997,0.26 +/- 0.19339079605813717,0.26 +/- 0.19339079605813717,0.26 +/- 0.19339079605813717
myeloproliferative disorders,0.21666666666666665 +/- 0.19436506316151,0.21666666666666665 +/- 0.19436506316151,0.21666666666666665 +/- 0.19436506316151,0.26666666666666666 +/- 0.1615893285805443
nutritional and metabolic diseases,0.02187817499881308 +/- 0.004255893788965382,0.038657361249584576 +/- 0.012579251892324556,0.0723009542800171 +/- 0.01375593392575445,0.12275245691496939 +/- 0.017772858062136587
peroxisomal disorders,0.75 +/- 0.0,0.8 +/- 0.09999999999999999,0.85 +/- 0.1224744871391589,0.85 +/- 0.1224744871391589
psoriasis,0.0 +/- 0.0,0.0 +/- 0.0,0.01818181818181818 +/- 0.03636363636363636,0.03636363636363636 +/- 0.07272727272727272
purine-pyrimidine metabolism inborn errors,0.0 +/- 0.0,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
renal tubular transport inborn errors,0.12380952380952381 +/- 0.1227057021592869,0.12380952380952381 +/- 0.1227057021592869,0.12380952380952381 +/- 0.1227057021592869,0.15238095238095237 +/- 0.10605265453009564
sarcoma,0.04 +/- 0.08,0.08 +/- 0.09797958971132713,0.12000000000000002 +/- 0.16,0.12000000000000002 +/- 0.16
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.0 +/- 0.0,0.1 +/- 0.12247448713915891,0.1 +/- 0.12247448713915891
tauopathies,0.02857142857142857 +/- 0.05714285714285714,0.05714285714285714 +/- 0.06998542122237653,0.05714285714285714 +/- 0.06998542122237653,0.11428571428571428 +/- 0.10690449676496976
uveal diseases,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
