,Top 25,Top 50,Top 100,Top 200
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.029 +/- 0.057,0.057 +/- 0.07,0.057 +/- 0.07,0.086 +/- 0.07
hypothalamic diseases,0.21 +/- 0.128,0.21 +/- 0.128,0.21 +/- 0.128,0.21 +/- 0.128
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.1
leukemia myeloid,0.069 +/- 0.057,0.069 +/- 0.057,0.114 +/- 0.122,0.114 +/- 0.122
lipid metabolism disorders,0.16 +/- 0.08,0.22 +/- 0.117,0.24 +/- 0.15,0.28 +/- 0.183
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.04 +/- 0.08
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.1
lung diseases obstructive,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05
lupus erythematosus,0.013 +/- 0.027,0.027 +/- 0.033,0.04 +/- 0.053,0.067 +/- 0.073
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.422 +/- 0.13,0.467 +/- 0.191,0.467 +/- 0.191,0.489 +/- 0.181
macular degeneration,0.069 +/- 0.09,0.114 +/- 0.07,0.136 +/- 0.083,0.206 +/- 0.131
metabolic syndrome x,0.067 +/- 0.133,0.067 +/- 0.133,0.2 +/- 0.267,0.2 +/- 0.267
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
multiple sclerosis,0.029 +/- 0.035,0.029 +/- 0.035,0.086 +/- 0.07,0.114 +/- 0.097
muscular dystrophies,0.21 +/- 0.152,0.21 +/- 0.152,0.21 +/- 0.152,0.238 +/- 0.151
mycobacterium infections,0.17 +/- 0.154,0.22 +/- 0.129,0.22 +/- 0.129,0.26 +/- 0.193
myeloproliferative disorders,0.1 +/- 0.2,0.217 +/- 0.194,0.217 +/- 0.194,0.267 +/- 0.162
nutritional and metabolic diseases,0.012 +/- 0.01,0.024 +/- 0.003,0.055 +/- 0.009,0.108 +/- 0.021
peroxisomal disorders,0.75 +/- 0.0,0.85 +/- 0.122,0.85 +/- 0.122,0.85 +/- 0.122
psoriasis,0.0 +/- 0.0,0.038 +/- 0.047,0.056 +/- 0.074,0.056 +/- 0.074
purine-pyrimidine metabolism inborn errors,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
renal tubular transport inborn errors,0.124 +/- 0.123,0.152 +/- 0.106,0.152 +/- 0.106,0.152 +/- 0.106
sarcoma,0.04 +/- 0.08,0.08 +/- 0.098,0.12 +/- 0.16,0.16 +/- 0.196
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.183 +/- 0.26,0.183 +/- 0.26,0.233 +/- 0.291,0.283 +/- 0.267
tauopathies,0.029 +/- 0.057,0.086 +/- 0.07,0.114 +/- 0.107,0.114 +/- 0.107
uveal diseases,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
