,Top 25,Top 50,Top 100,Top 200
dwarfism,0.013333333333333332 +/- 0.026666666666666665,0.014545454545454545 +/- 0.017814470856604932,0.007619047619047618 +/- 0.009331389496316867,0.003902439024390244 +/- 0.004779492181040347
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.0125 +/- 0.025,0.014035087719298248 +/- 0.017189401703741603,0.007476635514018691 +/- 0.009156971001058608,0.003864734299516908 +/- 0.004733313512624499
hypothalamic diseases,0.0671264367816092 +/- 0.042173727983332875,0.036498316498316495 +/- 0.02299996032147492,0.019084249084249084 +/- 0.012046994795035898,0.009765662362505978 +/- 0.006170327526916456
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
leukemia myeloid,0.04777183600713013 +/- 0.023899216773040098,0.040911747516072475 +/- 0.03316690138157674,0.022086306489976216 +/- 0.017964221984053966,0.011501656238498343 +/- 0.009372307215387158
lipid metabolism disorders,0.11428571428571428 +/- 0.0722806322324201,0.08666666666666667 +/- 0.04988876515698589,0.04727272727272728 +/- 0.027212053721992303,0.02857142857142857 +/- 0.015936381457791915
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.00196078431372549 +/- 0.00392156862745098
lung diseases obstructive,0.012121212121212121 +/- 0.02424242424242424,0.006896551724137933 +/- 0.013793103448275864,0.007407407407407407 +/- 0.014814814814814814,0.005778520995912301 +/- 0.007696973830574513
lupus erythematosus,0.02 +/- 0.024494897427831782,0.012307692307692308 +/- 0.015073783032511865,0.010434782608695653 +/- 0.008519964322724099,0.011162790697674419 +/- 0.006961223045160821
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001951219512195122 +/- 0.003902439024390244
lysosomal storage diseases,0.2235294117647059 +/- 0.06859943405700354,0.1491525423728814 +/- 0.0550782264721082,0.08073394495412844 +/- 0.02981298497114114,0.042105263157894736 +/- 0.015548398860547293
macular degeneration,0.035650623885918005 +/- 0.04724212127908006,0.027235534774985394 +/- 0.025399465773075062,0.02572205232755691 +/- 0.02487935529684025,0.01532020610967979 +/- 0.011478666755659795
metabolic syndrome x,0.014285714285714285 +/- 0.02857142857142857,0.007547169811320755 +/- 0.015094339622641508,0.011650485436893203 +/- 0.015533980582524271,0.005911330049261083 +/- 0.007881773399014778
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
multiple sclerosis,0.010256410256410256 +/- 0.020512820512820513,0.0125 +/- 0.015309310892394864,0.017543859649122806 +/- 0.01921833535105846,0.014953271028037382 +/- 0.012677252304907042
muscular dystrophies,0.08830645161290322 +/- 0.06423071950230325,0.049373433583959896 +/- 0.03593324254240156,0.026238758596367484 +/- 0.019103729714548795,0.017410065193940248 +/- 0.01282075648420716
mycobacterium infections,0.0671264367816092 +/- 0.07303546321868377,0.043905723905723906 +/- 0.03557544592104279,0.02293040293040293 +/- 0.018648034703384934,0.011726446676231468 +/- 0.009555107473888918
myeloproliferative disorders,0.02758620689655173 +/- 0.03378606541769901,0.029769392033542973 +/- 0.027754716198164192,0.015421956684092608 +/- 0.014401160021740344,0.009813580604655656 +/- 0.006200574524786182
nutritional and metabolic diseases,0.02502022881333226 +/- 0.01047740497220644,0.030798070707572966 +/- 0.00593533681488921,0.0712590781511229 +/- 0.01580981703757476,0.08277500936495731 +/- 0.015649986600781506
peroxisomal disorders,0.2206896551724138 +/- 0.027586206896551745,0.1259259259259259 +/- 0.018144368465060578,0.06538461538461539 +/- 0.00942111439531992,0.03333333333333334 +/- 0.004802921064280741
psoriasis,0.0 +/- 0.0,0.006557377049180327 +/- 0.013114754098360652,0.010843570843570844 +/- 0.014430933874074011,0.0056962310990747 +/- 0.007587472180654756
purine-pyrimidine metabolism inborn errors,0.014285714285714285 +/- 0.02857142857142857,0.007547169811320755 +/- 0.015094339622641508,0.003883495145631068 +/- 0.007766990291262136,0.0019704433497536944 +/- 0.003940886699507389
renal tubular transport inborn errors,0.050806451612903224 +/- 0.048073581089318695,0.035338345864661655 +/- 0.022589783136328315,0.018762123082348793 +/- 0.011933435927381612,0.00968059659490643 +/- 0.00614038796163325
sarcoma,0.013333333333333332 +/- 0.026666666666666665,0.007272727272727273 +/- 0.014545454545454545,0.011428571428571427 +/- 0.015238095238095236,0.005853658536585366 +/- 0.007804878048780488
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.01509433962264151 +/- 0.030188679245283016,0.015459297983569828 +/- 0.018934064142272142,0.00982323964068386 +/- 0.00879055066405211
tauopathies,0.0125 +/- 0.025000000000000005,0.014035087719298248 +/- 0.017189401703741603,0.007476635514018691 +/- 0.009156971001058608,0.003864734299516908 +/- 0.004733313512624499
uveal diseases,0.014285714285714285 +/- 0.02857142857142857,0.007547169811320755 +/- 0.015094339622641508,0.003883495145631068 +/- 0.007766990291262136,0.0019704433497536944 +/- 0.003940886699507389
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.014285714285714285 +/- 0.02857142857142857,0.007547169811320755 +/- 0.015094339622641508,0.003883495145631068 +/- 0.007766990291262136,0.0019704433497536944 +/- 0.003940886699507389
