,Top 25,Top 50,Top 100,Top 200
breast neoplasms,0.061 +/- 0.054,0.055 +/- 0.028,0.033 +/- 0.018,0.025 +/- 0.013
carbohydrate metabolism inborn errors,0.198 +/- 0.054,0.141 +/- 0.046,0.104 +/- 0.031,0.065 +/- 0.016
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004
cardiomyopathies,0.057 +/- 0.036,0.06 +/- 0.039,0.036 +/- 0.02,0.021 +/- 0.011
cardiomyopathy hypertrophic,0.068 +/- 0.061,0.059 +/- 0.038,0.038 +/- 0.024,0.02 +/- 0.012
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007,0.004 +/- 0.005
charcot-marie-tooth disease,0.027 +/- 0.053,0.022 +/- 0.044,0.011 +/- 0.023,0.01 +/- 0.015
colitis ulcerative,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colorectal neoplasms,0.036 +/- 0.029,0.027 +/- 0.026,0.018 +/- 0.012,0.012 +/- 0.007
coronary artery disease,0.013 +/- 0.026,0.007 +/- 0.014,0.004 +/- 0.008,0.002 +/- 0.004
crohn disease,0.031 +/- 0.041,0.025 +/- 0.023,0.018 +/- 0.011,0.009 +/- 0.006
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.01 +/- 0.02,0.006 +/- 0.012,0.007 +/- 0.009,0.006 +/- 0.007
dwarfism,0.027 +/- 0.033,0.015 +/- 0.018,0.008 +/- 0.009,0.006 +/- 0.005
esophageal diseases,0.0 +/- 0.0,0.007 +/- 0.015,0.004 +/- 0.008,0.004 +/- 0.008
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.005
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.012 +/- 0.025,0.014 +/- 0.017,0.007 +/- 0.009,0.006 +/- 0.005
hypothalamic diseases,0.054 +/- 0.027,0.036 +/- 0.023,0.019 +/- 0.012,0.012 +/- 0.01
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004
leukemia myeloid,0.048 +/- 0.024,0.041 +/- 0.033,0.022 +/- 0.018,0.015 +/- 0.013
lipid metabolism disorders,0.103 +/- 0.067,0.067 +/- 0.042,0.036 +/- 0.023,0.023 +/- 0.014
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.007 +/- 0.015,0.004 +/- 0.008,0.004 +/- 0.005
lung diseases obstructive,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
lupus erythematosus,0.01 +/- 0.02,0.006 +/- 0.012,0.003 +/- 0.007,0.004 +/- 0.005
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.212 +/- 0.06,0.136 +/- 0.037,0.077 +/- 0.021,0.044 +/- 0.016
macular degeneration,0.036 +/- 0.047,0.02 +/- 0.027,0.011 +/- 0.015,0.012 +/- 0.011
metabolic syndrome x,0.0 +/- 0.0,0.008 +/- 0.015,0.004 +/- 0.008,0.004 +/- 0.005
motor neuron disease,0.013 +/- 0.026,0.007 +/- 0.014,0.004 +/- 0.008,0.002 +/- 0.004
multiple sclerosis,0.021 +/- 0.025,0.012 +/- 0.015,0.018 +/- 0.019,0.021 +/- 0.014
muscular dystrophies,0.076 +/- 0.048,0.042 +/- 0.027,0.03 +/- 0.025,0.017 +/- 0.013
mycobacterium infections,0.067 +/- 0.073,0.044 +/- 0.036,0.023 +/- 0.019,0.012 +/- 0.01
myeloproliferative disorders,0.056 +/- 0.052,0.03 +/- 0.028,0.015 +/- 0.014,0.01 +/- 0.006
nutritional and metabolic diseases,0.036 +/- 0.007,0.054 +/- 0.018,0.079 +/- 0.015,0.092 +/- 0.013
peroxisomal disorders,0.207 +/- 0.0,0.119 +/- 0.015,0.065 +/- 0.009,0.033 +/- 0.005
psoriasis,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007,0.004 +/- 0.008
purine-pyrimidine metabolism inborn errors,0.0 +/- 0.0,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
renal tubular transport inborn errors,0.051 +/- 0.048,0.028 +/- 0.027,0.015 +/- 0.014,0.01 +/- 0.006
sarcoma,0.013 +/- 0.027,0.015 +/- 0.018,0.011 +/- 0.015,0.006 +/- 0.008
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.009,0.004 +/- 0.005
tauopathies,0.012 +/- 0.025,0.014 +/- 0.017,0.007 +/- 0.009,0.008 +/- 0.007
uveal diseases,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
