,Top 25,Top 50,Top 100,Top 200
leukemia myeloid,0.109 +/- 0.078,0.126 +/- 0.087,0.126 +/- 0.087,0.139 +/- 0.094
lipid metabolism disorders,0.175 +/- 0.087,0.183 +/- 0.098,0.183 +/- 0.098,0.196 +/- 0.099
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.013 +/- 0.027,0.013 +/- 0.027,0.024 +/- 0.03
lung diseases obstructive,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.007 +/- 0.013
lupus erythematosus,0.008 +/- 0.016,0.008 +/- 0.016,0.008 +/- 0.016,0.013 +/- 0.017
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.49 +/- 0.13,0.509 +/- 0.121,0.516 +/- 0.126,0.529 +/- 0.141
macular degeneration,0.127 +/- 0.161,0.127 +/- 0.161,0.127 +/- 0.161,0.147 +/- 0.172
metabolic syndrome x,0.0 +/- 0.0,0.017 +/- 0.034,0.017 +/- 0.034,0.03 +/- 0.037
motor neuron disease,0.015 +/- 0.029,0.015 +/- 0.029,0.015 +/- 0.029,0.015 +/- 0.029
multiple sclerosis,0.017 +/- 0.021,0.017 +/- 0.021,0.034 +/- 0.036,0.063 +/- 0.046
muscular dystrophies,0.2 +/- 0.166,0.2 +/- 0.166,0.217 +/- 0.191,0.225 +/- 0.186
mycobacterium infections,0.106 +/- 0.111,0.122 +/- 0.1,0.122 +/- 0.1,0.122 +/- 0.1
myeloproliferative disorders,0.078 +/- 0.071,0.078 +/- 0.071,0.078 +/- 0.071,0.089 +/- 0.062
nutritional and metabolic diseases,0.135 +/- 0.033,0.115 +/- 0.021,0.101 +/- 0.016,0.124 +/- 0.014
peroxisomal disorders,0.771 +/- 0.027,0.786 +/- 0.016,0.798 +/- 0.037,0.798 +/- 0.037
psoriasis,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.013,0.012 +/- 0.024
purine-pyrimidine metabolism inborn errors,0.0 +/- 0.0,0.018 +/- 0.036,0.018 +/- 0.036,0.018 +/- 0.036
renal tubular transport inborn errors,0.079 +/- 0.069,0.079 +/- 0.069,0.079 +/- 0.069,0.086 +/- 0.062
sarcoma,0.026 +/- 0.052,0.039 +/- 0.052,0.05 +/- 0.072,0.05 +/- 0.072
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.0 +/- 0.0,0.024 +/- 0.03,0.024 +/- 0.03
tauopathies,0.055 +/- 0.11,0.066 +/- 0.107,0.066 +/- 0.107,0.081 +/- 0.103
uveal diseases,0.031 +/- 0.063,0.031 +/- 0.063,0.031 +/- 0.063,0.031 +/- 0.063
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.026 +/- 0.052,0.026 +/- 0.052,0.026 +/- 0.052,0.026 +/- 0.052
