,Top 25,Top 50,Top 100,Top 200
leukemia myeloid,0.09444444444444444 +/- 0.04762896722078402,0.1388888888888889 +/- 0.1079408845984747,0.1388888888888889 +/- 0.1079408845984747,0.1388888888888889 +/- 0.1079408845984747
lipid metabolism disorders,0.2 +/- 0.1264911064067352,0.26 +/- 0.14966629547095767,0.26 +/- 0.14966629547095767,0.29999999999999993 +/- 0.1673320053068151
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.1
lung diseases obstructive,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.05 +/- 0.10000000000000002,0.07857142857142857 +/- 0.10202040612204072
lupus erythematosus,0.026666666666666665 +/- 0.032659863237109045,0.026666666666666665 +/- 0.032659863237109045,0.04 +/- 0.032659863237109045,0.08 +/- 0.049888765156985884
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.04 +/- 0.08
lysosomal storage diseases,0.4222222222222222 +/- 0.12957670877434005,0.48888888888888893 +/- 0.18053418676968802,0.48888888888888893 +/- 0.18053418676968802,0.48888888888888893 +/- 0.18053418676968802
macular degeneration,0.06944444444444445 +/- 0.09043789220055391,0.09166666666666666 +/- 0.0840708108356753,0.15833333333333333 +/- 0.15,0.18055555555555552 +/- 0.1320540480444968
metabolic syndrome x,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.2 +/- 0.2666666666666667,0.2 +/- 0.2666666666666667
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
multiple sclerosis,0.014285714285714285 +/- 0.02857142857142857,0.02857142857142857 +/- 0.03499271061118826,0.07142857142857142 +/- 0.07824607964359515,0.11428571428571428 +/- 0.09689042833036098
muscular dystrophies,0.2095238095238095 +/- 0.15238095238095237,0.2095238095238095 +/- 0.15238095238095237,0.2095238095238095 +/- 0.15238095238095237,0.26666666666666666 +/- 0.19189944456771318
mycobacterium infections,0.21000000000000002 +/- 0.21999999999999997,0.26 +/- 0.19339079605813717,0.26 +/- 0.19339079605813717,0.26 +/- 0.19339079605813717
myeloproliferative disorders,0.1 +/- 0.12247448713915891,0.21666666666666665 +/- 0.19436506316151,0.21666666666666665 +/- 0.19436506316151,0.26666666666666666 +/- 0.1615893285805443
nutritional and metabolic diseases,0.015141005554764279 +/- 0.006350154856131635,0.02187817499881308 +/- 0.004255893788965382,0.06559227080662773 +/- 0.014627262269257936,0.11098727626643878 +/- 0.02118832782272218
peroxisomal disorders,0.8 +/- 0.09999999999999999,0.85 +/- 0.1224744871391589,0.85 +/- 0.1224744871391589,0.85 +/- 0.1224744871391589
psoriasis,0.0 +/- 0.0,0.01818181818181818 +/- 0.03636363636363636,0.05636363636363637 +/- 0.07372049066441198,0.05636363636363637 +/- 0.07372049066441198
purine-pyrimidine metabolism inborn errors,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
renal tubular transport inborn errors,0.12380952380952381 +/- 0.1227057021592869,0.15238095238095237 +/- 0.10605265453009564,0.15238095238095237 +/- 0.10605265453009564,0.15238095238095237 +/- 0.10605265453009564
sarcoma,0.04 +/- 0.08,0.04 +/- 0.08,0.12000000000000002 +/- 0.16,0.12000000000000002 +/- 0.16
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.13333333333333333 +/- 0.26666666666666666,0.2333333333333333 +/- 0.2905932629027116,0.2833333333333333 +/- 0.26666666666666666
tauopathies,0.02857142857142857 +/- 0.05714285714285714,0.05714285714285714 +/- 0.06998542122237653,0.05714285714285714 +/- 0.06998542122237653,0.05714285714285714 +/- 0.06998542122237653
uveal diseases,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
