,Top 25,Top 50,Top 100,Top 200
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
cardiomyopathies,0.04 +/- 0.025,0.036 +/- 0.023,0.02 +/- 0.011,0.011 +/- 0.006
cardiomyopathy hypertrophic,0.04 +/- 0.036,0.032 +/- 0.02,0.02 +/- 0.013,0.01 +/- 0.006
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002
charcot-marie-tooth disease,0.016 +/- 0.032,0.012 +/- 0.024,0.006 +/- 0.012,0.005 +/- 0.008
colitis ulcerative,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colorectal neoplasms,0.024 +/- 0.02,0.016 +/- 0.015,0.01 +/- 0.006,0.006 +/- 0.004
coronary artery disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
crohn disease,0.024 +/- 0.032,0.016 +/- 0.015,0.01 +/- 0.006,0.005 +/- 0.003
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.005,0.003 +/- 0.004
dwarfism,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.003 +/- 0.002
esophageal diseases,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.004
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.002
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.003 +/- 0.002
hypothalamic diseases,0.032 +/- 0.016,0.02 +/- 0.013,0.01 +/- 0.006,0.006 +/- 0.005
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
leukemia myeloid,0.032 +/- 0.016,0.024 +/- 0.02,0.012 +/- 0.01,0.008 +/- 0.007
lipid metabolism disorders,0.072 +/- 0.047,0.04 +/- 0.025,0.02 +/- 0.013,0.012 +/- 0.007
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
lung diseases obstructive,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
lupus erythematosus,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.144 +/- 0.041,0.08 +/- 0.022,0.042 +/- 0.012,0.023 +/- 0.008
macular degeneration,0.024 +/- 0.032,0.012 +/- 0.016,0.006 +/- 0.008,0.006 +/- 0.006
metabolic syndrome x,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
motor neuron disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
multiple sclerosis,0.016 +/- 0.02,0.008 +/- 0.01,0.01 +/- 0.011,0.011 +/- 0.007
muscular dystrophies,0.048 +/- 0.03,0.024 +/- 0.015,0.016 +/- 0.014,0.009 +/- 0.007
mycobacterium infections,0.04 +/- 0.044,0.024 +/- 0.02,0.012 +/- 0.01,0.006 +/- 0.005
myeloproliferative disorders,0.032 +/- 0.03,0.016 +/- 0.015,0.008 +/- 0.007,0.005 +/- 0.003
nutritional and metabolic diseases,0.104 +/- 0.02,0.092 +/- 0.03,0.086 +/- 0.016,0.073 +/- 0.01
peroxisomal disorders,0.12 +/- 0.0,0.064 +/- 0.008,0.034 +/- 0.005,0.017 +/- 0.002
psoriasis,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.004
purine-pyrimidine metabolism inborn errors,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
renal tubular transport inborn errors,0.032 +/- 0.03,0.016 +/- 0.015,0.008 +/- 0.007,0.005 +/- 0.003
sarcoma,0.008 +/- 0.016,0.008 +/- 0.01,0.006 +/- 0.008,0.003 +/- 0.004
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.005,0.002 +/- 0.002
tauopathies,0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.004 +/- 0.004
uveal diseases,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
