,Top 25,Top 50,Top 100,Top 200
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.004898979485566357,0.003 +/- 0.002449489742783178
hypothalamic diseases,0.04 +/- 0.025298221281347035,0.02 +/- 0.012649110640673518,0.01 +/- 0.006324555320336759,0.005 +/- 0.0031622776601683794
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
leukemia myeloid,0.024 +/- 0.019595917942265426,0.02 +/- 0.021908902300206645,0.01 +/- 0.010954451150103323,0.006 +/- 0.007348469228349535
lipid metabolism disorders,0.055999999999999994 +/- 0.019595917942265423,0.044 +/- 0.032,0.026000000000000002 +/- 0.018547236990991405,0.014000000000000002 +/- 0.00916515138991168
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
lung diseases obstructive,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
lupus erythematosus,0.016 +/- 0.019595917942265426,0.008 +/- 0.009797958971132713,0.006 +/- 0.008,0.005 +/- 0.005477225575051661
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
lysosomal storage diseases,0.15199999999999997 +/- 0.0466476151587624,0.08399999999999999 +/- 0.034409301068170514,0.041999999999999996 +/- 0.017204650534085257,0.020999999999999998 +/- 0.008602325267042629
macular degeneration,0.032 +/- 0.02993325909419153,0.02 +/- 0.012649110640673518,0.016 +/- 0.010198039027185569,0.01 +/- 0.006324555320336758
metabolic syndrome x,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
multiple sclerosis,0.016 +/- 0.019595917942265426,0.012 +/- 0.009797958971132711,0.013999999999999999 +/- 0.010198039027185569,0.008 +/- 0.006782329983125268
muscular dystrophies,0.055999999999999994 +/- 0.040792156108742275,0.027999999999999997 +/- 0.020396078054371138,0.013999999999999999 +/- 0.010198039027185569,0.008 +/- 0.005099019513592784
mycobacterium infections,0.04 +/- 0.025298221281347035,0.02 +/- 0.012649110640673518,0.01 +/- 0.006324555320336759,0.005 +/- 0.0031622776601683794
myeloproliferative disorders,0.0 +/- 0.0,0.008 +/- 0.009797958971132713,0.004 +/- 0.004898979485566357,0.003 +/- 0.002449489742783178
nutritional and metabolic diseases,0.05600000000000001 +/- 0.047999999999999994,0.05600000000000001 +/- 0.014966629547095767,0.066 +/- 0.00489897948556636,0.065 +/- 0.012247448713915891
peroxisomal disorders,0.12 +/- 0.0,0.068 +/- 0.009797958971132713,0.034 +/- 0.004898979485566357,0.017 +/- 0.0024494897427831783
psoriasis,0.0 +/- 0.0,0.004 +/- 0.008,0.006 +/- 0.008,0.003 +/- 0.004
purine-pyrimidine metabolism inborn errors,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
renal tubular transport inborn errors,0.04 +/- 0.025298221281347035,0.02 +/- 0.012649110640673518,0.01 +/- 0.006324555320336759,0.005 +/- 0.0031622776601683794
sarcoma,0.008 +/- 0.016,0.008 +/- 0.016,0.004 +/- 0.008,0.003 +/- 0.004
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.008,0.002 +/- 0.004
tauopathies,0.008 +/- 0.016,0.008 +/- 0.009797958971132711,0.004 +/- 0.004898979485566356,0.002 +/- 0.002449489742783178
uveal diseases,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
