,Top 25,Top 50,Top 100,Top 200
breast neoplasms,0.032 +/- 0.02993325909419153,0.02 +/- 0.012649110640673518,0.012 +/- 0.0074833147735478825,0.01 +/- 0.005477225575051661
carbohydrate metabolism inborn errors,0.15199999999999997 +/- 0.058787753826796275,0.07999999999999999 +/- 0.0282842712474619,0.048 +/- 0.014696938456699067,0.027000000000000003 +/- 0.006000000000000001
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.088 +/- 0.058787753826796275,0.064 +/- 0.023323807579381205,0.036 +/- 0.013564659966250536,0.019 +/- 0.005830951894845301
cardiomyopathy hypertrophic,0.048 +/- 0.0466476151587624,0.031999999999999994 +/- 0.027129319932501075,0.019999999999999997 +/- 0.01673320053068151,0.009999999999999998 +/- 0.008366600265340755
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.0024494897427831783
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.0024494897427831783
charcot-marie-tooth disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
colitis ulcerative,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
colorectal neoplasms,0.016 +/- 0.019595917942265426,0.012 +/- 0.009797958971132711,0.008 +/- 0.0074833147735478825,0.007000000000000001 +/- 0.002449489742783178
coronary artery disease,0.016 +/- 0.019595917942265426,0.008 +/- 0.009797958971132713,0.004 +/- 0.004898979485566357,0.003 +/- 0.002449489742783178
crohn disease,0.024 +/- 0.019595917942265426,0.016 +/- 0.014966629547095765,0.008 +/- 0.0074833147735478825,0.006 +/- 0.002
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.016 +/- 0.019595917942265423,0.008 +/- 0.009797958971132711,0.004 +/- 0.004898979485566356,0.005 +/- 0.00447213595499958
dwarfism,0.0 +/- 0.0,0.008 +/- 0.009797958971132713,0.004 +/- 0.004898979485566357,0.002 +/- 0.0024494897427831783
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.008 +/- 0.016,0.008 +/- 0.009797958971132713,0.004 +/- 0.004898979485566357,0.003 +/- 0.002449489742783178
hypothalamic diseases,0.04 +/- 0.025298221281347035,0.02 +/- 0.012649110640673518,0.01 +/- 0.006324555320336759,0.005 +/- 0.0031622776601683794
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
leukemia myeloid,0.024 +/- 0.019595917942265426,0.012 +/- 0.009797958971132713,0.01 +/- 0.010954451150103323,0.005 +/- 0.005477225575051661
lipid metabolism disorders,0.064 +/- 0.032,0.044 +/- 0.0233238075793812,0.024 +/- 0.014966629547095767,0.014000000000000002 +/- 0.00916515138991168
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
lung diseases obstructive,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
lupus erythematosus,0.008 +/- 0.016,0.008 +/- 0.009797958971132713,0.006 +/- 0.008,0.005 +/- 0.00547722557505166
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.15199999999999997 +/- 0.0466476151587624,0.08399999999999999 +/- 0.034409301068170514,0.041999999999999996 +/- 0.017204650534085257,0.022 +/- 0.008124038404635962
macular degeneration,0.024 +/- 0.032,0.02 +/- 0.012649110640673518,0.012 +/- 0.0074833147735478825,0.009000000000000001 +/- 0.0058309518948453
metabolic syndrome x,0.008 +/- 0.016,0.004 +/- 0.008,0.006 +/- 0.008,0.003 +/- 0.004
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
multiple sclerosis,0.016 +/- 0.019595917942265423,0.008 +/- 0.009797958971132711,0.012 +/- 0.009797958971132711,0.008 +/- 0.006782329983125268
muscular dystrophies,0.055999999999999994 +/- 0.040792156108742275,0.027999999999999997 +/- 0.020396078054371138,0.013999999999999999 +/- 0.010198039027185569,0.008 +/- 0.005099019513592784
mycobacterium infections,0.032 +/- 0.02993325909419153,0.02 +/- 0.012649110640673518,0.01 +/- 0.006324555320336759,0.006 +/- 0.004898979485566356
myeloproliferative disorders,0.016 +/- 0.032,0.016 +/- 0.014966629547095765,0.008 +/- 0.0074833147735478825,0.005 +/- 0.0031622776601683794
nutritional and metabolic diseases,0.05600000000000001 +/- 0.047999999999999994,0.055999999999999994 +/- 0.007999999999999998,0.066 +/- 0.01019803902718557,0.064 +/- 0.012409673645990858
peroxisomal disorders,0.12 +/- 0.0,0.068 +/- 0.009797958971132713,0.034 +/- 0.004898979485566357,0.017 +/- 0.0024494897427831783
psoriasis,0.0 +/- 0.0,0.008 +/- 0.009797958971132711,0.006 +/- 0.008,0.003 +/- 0.004
purine-pyrimidine metabolism inborn errors,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
renal tubular transport inborn errors,0.032 +/- 0.02993325909419153,0.02 +/- 0.012649110640673518,0.01 +/- 0.006324555320336759,0.005 +/- 0.0031622776601683794
sarcoma,0.008 +/- 0.016,0.008 +/- 0.009797958971132713,0.006 +/- 0.008,0.004 +/- 0.004898979485566357
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.024 +/- 0.032,0.012 +/- 0.016,0.008 +/- 0.009797958971132713,0.005 +/- 0.00447213595499958
tauopathies,0.008 +/- 0.016,0.012 +/- 0.009797958971132713,0.008 +/- 0.0074833147735478825,0.004 +/- 0.0037416573867739412
uveal diseases,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
