,Top 25,Top 50,Top 100,Top 200
charcot-marie-tooth disease,0.04123628730678104 +/- 0.08247257461356208,0.055346342036355765 +/- 0.11069268407271153,0.055346342036355765 +/- 0.11069268407271153,0.07450471000827194 +/- 0.12767388092164714
colitis ulcerative,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colorectal neoplasms,0.07657925230415186 +/- 0.0928507616012086,0.08669696041485814 +/- 0.09394396502221589,0.0941982706282557 +/- 0.0880333209330695,0.10060291239401686 +/- 0.08672343733096387
coronary artery disease,0.019092086617893463 +/- 0.038184173235786927,0.019092086617893463 +/- 0.038184173235786927,0.019092086617893463 +/- 0.038184173235786927,0.019092086617893463 +/- 0.038184173235786927
crohn disease,0.03784507939963844 +/- 0.048239564083915096,0.04460938901707582 +/- 0.04469997105476762,0.04998578701186377 +/- 0.0404231910488306,0.04998578701186377 +/- 0.0404231910488306
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.03412184365572095 +/- 0.06824368731144188,0.03412184365572095 +/- 0.06824368731144188,0.03985256563346237 +/- 0.06631349754528663,0.0447674770289631 +/- 0.06621194471072434
dwarfism,0.04308352988123171 +/- 0.05341306761831877,0.04308352988123171 +/- 0.05341306761831877,0.04308352988123171 +/- 0.05341306761831877,0.05156032060834492 +/- 0.049091339188772634
esophageal diseases,0.0 +/- 0.0,0.013566408210944647 +/- 0.027132816421889295,0.013566408210944647 +/- 0.027132816421889295,0.022962509834346105 +/- 0.0459250196686922
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.024689685717579762 +/- 0.030239291840762916
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.019582585069993563 +/- 0.039165170139987125,0.030058199765895587 +/- 0.03952955012691367,0.030058199765895587 +/- 0.03952955012691367,0.037557298104737596 +/- 0.03656107827940329
hypothalamic diseases,0.10022393163684559 +/- 0.05450234249968723,0.11243582397775867 +/- 0.06845962894480917,0.11243582397775867 +/- 0.06845962894480917,0.12141474293503056 +/- 0.08191256376408501
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.015417875665467507 +/- 0.030835751330935014,0.015417875665467507 +/- 0.030835751330935014
leukemia myeloid,0.10875647801920449 +/- 0.07759481571874814,0.1259939541462119 +/- 0.08667003760878224,0.1259939541462119 +/- 0.08667003760878224,0.13934601415414954 +/- 0.09364201314394707
lipid metabolism disorders,0.17536542391624543 +/- 0.086671524652276,0.18338063344343297 +/- 0.09771382961410985,0.18338063344343297 +/- 0.09771382961410985,0.19640120593671775 +/- 0.09895344520045764
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.013333176707400233 +/- 0.026666353414800465,0.013333176707400233 +/- 0.026666353414800465,0.023932225693803277 +/- 0.0296279559871335
lung diseases obstructive,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.006649972916529849 +/- 0.013299945833059698
lupus erythematosus,0.008182843490930588 +/- 0.016365686981861177,0.008182843490930588 +/- 0.016365686981861177,0.008182843490930588 +/- 0.016365686981861177,0.012668233535589041 +/- 0.016580232698509043
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.48994288201366915 +/- 0.13030688930895143,0.5085848913586429 +/- 0.12124788427155525,0.5161319259118601 +/- 0.12647119072508817,0.529190691076236 +/- 0.1405241603947781
macular degeneration,0.1272570965504583 +/- 0.16122025600866155,0.1272570965504583 +/- 0.16122025600866155,0.1272570965504583 +/- 0.16122025600866155,0.14704856146486528 +/- 0.17188373120353054
metabolic syndrome x,0.0 +/- 0.0,0.016896974323527887 +/- 0.033793948647055774,0.016896974323527887 +/- 0.033793948647055774,0.030179533130073453 +/- 0.03740142148030351
motor neuron disease,0.01451356623412402 +/- 0.02902713246824804,0.01451356623412402 +/- 0.02902713246824804,0.01451356623412402 +/- 0.02902713246824804,0.01451356623412402 +/- 0.02902713246824804
multiple sclerosis,0.01668420109218755 +/- 0.020512795958004777,0.01668420109218755 +/- 0.020512795958004777,0.033614838622641835 +/- 0.03569813819852861,0.06293862475292972 +/- 0.046351846340180705
muscular dystrophies,0.19954315779626947 +/- 0.1656029429576767,0.19954315779626947 +/- 0.1656029429576767,0.21747063178203635 +/- 0.19062743084953948,0.22491623734234284 +/- 0.18649207282009614
mycobacterium infections,0.10598854013393703 +/- 0.11085666219202324,0.12206023948326108 +/- 0.0995769337208362,0.12206023948326108 +/- 0.0995769337208362,0.12206023948326108 +/- 0.0995769337208362
myeloproliferative disorders,0.07767447180427896 +/- 0.07139362670766881,0.07767447180427896 +/- 0.07139362670766881,0.07767447180427896 +/- 0.07139362670766881,0.08875789625150891 +/- 0.062182158574154864
nutritional and metabolic diseases,0.13539582861386507 +/- 0.03293862191848736,0.11544963929281349 +/- 0.021051140319479012,0.10127118982325536 +/- 0.015973210823805113,0.12415813291736547 +/- 0.013862431162800039
peroxisomal disorders,0.7705421075620638 +/- 0.027271565094036235,0.7856440693848442 +/- 0.016406594595631173,0.7982178025946937 +/- 0.03719603986333551,0.7982178025946937 +/- 0.03719603986333551
psoriasis,0.0 +/- 0.0,0.0 +/- 0.0,0.006298023075817259 +/- 0.012596046151634519,0.012058319349949406 +/- 0.024116638699898812
purine-pyrimidine metabolism inborn errors,0.0 +/- 0.0,0.017757540735424855 +/- 0.03551508147084971,0.017757540735424855 +/- 0.03551508147084971,0.017757540735424855 +/- 0.03551508147084971
renal tubular transport inborn errors,0.07899422559383604 +/- 0.06871584609561178,0.07899422559383604 +/- 0.06871584609561178,0.07899422559383604 +/- 0.06871584609561178,0.08627871418381913 +/- 0.06150819076090989
sarcoma,0.02624101550246836 +/- 0.05248203100493672,0.03926196727876548 +/- 0.052432607451931554,0.05018596284819714 +/- 0.07235527139521288,0.05018596284819714 +/- 0.07235527139521288
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.0 +/- 0.0,0.024406736688602652 +/- 0.02989562332475462,0.024406736688602652 +/- 0.02989562332475462
tauopathies,0.05497526658285817 +/- 0.10995053316571636,0.06617895362492489 +/- 0.106580292704958,0.06617895362492489 +/- 0.106580292704958,0.08120268340533446 +/- 0.10288158653090951
uveal diseases,0.0312852484015171 +/- 0.06257049680303418,0.0312852484015171 +/- 0.06257049680303418,0.0312852484015171 +/- 0.06257049680303418,0.0312852484015171 +/- 0.06257049680303418
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.02618039803363944 +/- 0.05236079606727888,0.02618039803363944 +/- 0.05236079606727888,0.02618039803363944 +/- 0.05236079606727888,0.02618039803363944 +/- 0.05236079606727888
