,Top 25,Top 50,Top 100,Top 200
lupus erythematosus,0.018 +/- 0.022,0.018 +/- 0.022,0.024 +/- 0.032,0.033 +/- 0.038
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.011 +/- 0.023
lysosomal storage diseases,0.489 +/- 0.127,0.509 +/- 0.15,0.509 +/- 0.15,0.509 +/- 0.15
macular degeneration,0.14 +/- 0.153,0.149 +/- 0.146,0.174 +/- 0.143,0.187 +/- 0.159
metabolic syndrome x,0.026 +/- 0.052,0.026 +/- 0.052,0.026 +/- 0.052,0.026 +/- 0.052
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.011 +/- 0.021,0.011 +/- 0.021
multiple sclerosis,0.023 +/- 0.031,0.03 +/- 0.029,0.052 +/- 0.045,0.057 +/- 0.054
muscular dystrophies,0.212 +/- 0.197,0.212 +/- 0.197,0.212 +/- 0.197,0.22 +/- 0.194
mycobacterium infections,0.189 +/- 0.128,0.189 +/- 0.128,0.189 +/- 0.128,0.189 +/- 0.128
myeloproliferative disorders,0.0 +/- 0.0,0.032 +/- 0.04,0.032 +/- 0.04,0.044 +/- 0.037
nutritional and metabolic diseases,0.099 +/- 0.088,0.083 +/- 0.05,0.08 +/- 0.025,0.108 +/- 0.015
peroxisomal disorders,0.781 +/- 0.04,0.812 +/- 0.032,0.812 +/- 0.032,0.812 +/- 0.032
psoriasis,0.0 +/- 0.0,0.009 +/- 0.018,0.023 +/- 0.029,0.023 +/- 0.029
purine-pyrimidine metabolism inborn errors,0.023 +/- 0.046,0.023 +/- 0.046,0.023 +/- 0.046,0.023 +/- 0.046
renal tubular transport inborn errors,0.1 +/- 0.062,0.1 +/- 0.062,0.1 +/- 0.062,0.1 +/- 0.062
sarcoma,0.034 +/- 0.068,0.046 +/- 0.092,0.046 +/- 0.092,0.056 +/- 0.09
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.02 +/- 0.04,0.02 +/- 0.04,0.033 +/- 0.066,0.033 +/- 0.066
tauopathies,0.055 +/- 0.11,0.066 +/- 0.107,0.066 +/- 0.107,0.066 +/- 0.107
uveal diseases,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.027 +/- 0.054,0.027 +/- 0.054,0.027 +/- 0.054,0.027 +/- 0.054
