,Top 25,Top 50,Top 100,Top 200
lipid metabolism disorders,0.08 +/- 0.028,0.073 +/- 0.053,0.047 +/- 0.034,0.027 +/- 0.017
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
lung diseases obstructive,0.012 +/- 0.024,0.007 +/- 0.014,0.004 +/- 0.007,0.002 +/- 0.004
lupus erythematosus,0.02 +/- 0.024,0.012 +/- 0.015,0.01 +/- 0.014,0.009 +/- 0.01
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
lysosomal storage diseases,0.224 +/- 0.069,0.142 +/- 0.058,0.077 +/- 0.032,0.04 +/- 0.016
macular degeneration,0.047 +/- 0.044,0.034 +/- 0.021,0.029 +/- 0.019,0.019 +/- 0.012
metabolic syndrome x,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004
multiple sclerosis,0.021 +/- 0.025,0.019 +/- 0.015,0.025 +/- 0.018,0.015 +/- 0.013
muscular dystrophies,0.088 +/- 0.064,0.049 +/- 0.036,0.026 +/- 0.019,0.015 +/- 0.01
mycobacterium infections,0.068 +/- 0.042,0.037 +/- 0.023,0.019 +/- 0.012,0.01 +/- 0.006
myeloproliferative disorders,0.0 +/- 0.0,0.015 +/- 0.018,0.008 +/- 0.009,0.006 +/- 0.005
nutritional and metabolic diseases,0.019 +/- 0.017,0.033 +/- 0.009,0.06 +/- 0.004,0.082 +/- 0.015
peroxisomal disorders,0.207 +/- 0.0,0.126 +/- 0.018,0.065 +/- 0.009,0.033 +/- 0.005
psoriasis,0.0 +/- 0.0,0.007 +/- 0.013,0.011 +/- 0.014,0.006 +/- 0.008
purine-pyrimidine metabolism inborn errors,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
renal tubular transport inborn errors,0.063 +/- 0.041,0.035 +/- 0.023,0.019 +/- 0.012,0.01 +/- 0.006
sarcoma,0.013 +/- 0.027,0.015 +/- 0.029,0.008 +/- 0.015,0.006 +/- 0.008
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.014 +/- 0.028,0.007 +/- 0.015,0.008 +/- 0.015,0.004 +/- 0.008
tauopathies,0.012 +/- 0.025,0.014 +/- 0.017,0.007 +/- 0.009,0.004 +/- 0.005
uveal diseases,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
