Disease,Num disease genes,LCC_size,Density,Disgenes Percentage,Disgenes Longpath,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
"Alcoholic Intoxication, Chronic",268,129,0.026283914728682172,0.48134328358208955,-1,"('heat_diffusion', 0.03)","('heat_diffusion', 0.03)","('heat_diffusion', 0.02)","('heat_diffusion', 0.02)","('pdiamond', 0.01)","('heat_diffusion', 0.02)","('heat_diffusion', 0.02)","('pdiamond', 0.01)"
"Osteoporosis, Senile",61,26,0.1076923076923077,0.4262295081967213,-1,"('heat_diffusion', 0.03)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('heat_diffusion', 0.05)","('heat_diffusion', 0.03)","('heat_diffusion', 0.04)","('heat_diffusion', 0.02)"
Parkinson Disease,85,45,0.09090909090909091,0.5294117647058824,-1,"('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)"
"Hepatoma, Novikoff",110,40,0.1358974358974359,0.36363636363636365,-1,"('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Malignant neoplasm of prostate,616,543,0.023472168423341693,0.8814935064935064,-1,"('pdiamond', 0.02)","('pdiamond', 0.01)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)"
Pneumonia,54,11,0.2,0.2037037037037037,-1,"('pdiamond', 0.02)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('heat_diffusion', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.05)"
Carcinomatosis,163,135,0.06898839137645107,0.8282208588957055,-1,"('pdiamond', 0.06)","('pdiamond', 0.05)","('pdiamond', 0.03)","('heat_diffusion', 0.01)","('draw', 0.0)","('pdiamond', 0.03)","('pdiamond', 0.03)","('pdiamond', 0.01)"
"Dermatitis, Allergic Contact",67,3,0.6666666666666666,0.04477611940298507,-1,"('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.01)"
Atrial Fibrillation,160,77,0.036226930963773066,0.48125,-1,"('heat_diffusion', 0.04)","('heat_diffusion', 0.03)","('heat_diffusion', 0.03)","('heat_diffusion', 0.02)","('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)"
Craniofacial Abnormalities,156,99,0.039991754277468566,0.6346153846153846,-1,"('heat_diffusion', 0.02)","('heat_diffusion', 0.02)","('heat_diffusion', 0.02)","('heat_diffusion', 0.01)","('pdiamond', 0.04)","('pdiamond', 0.03)","('draw', 0.0)","('pdiamond', 0.03)"
Skin Neoplasms,59,40,0.0858974358974359,0.6779661016949152,-1,"('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.03)","('pdiamond', 0.05)","('pdiamond', 0.05)","('pdiamond', 0.05)"
Malignant mesothelioma,109,63,0.06656426011264721,0.5779816513761468,-1,"('pdiamond', 0.02)","('pdiamond', 0.03)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.04)","('pdiamond', 0.06)","('pdiamond', 0.05)","('pdiamond', 0.07)"
Tonic - clonic seizures,104,29,0.07389162561576355,0.27884615384615385,-1,"('draw', 0.0)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('draw', 0.0)","('heat_diffusion', 0.02)","('heat_diffusion', 0.02)","('heat_diffusion', 0.01)"
"Adenocarcinoma, Basal Cell",116,88,0.08098223615464994,0.7586206896551724,-1,"('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.03)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)"
"Seizures, Auditory",101,28,0.07671957671957672,0.27722772277227725,-1,"('draw', 0.0)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Alzheimer's Disease,101,60,0.06666666666666667,0.594059405940594,-1,"('pdiamond', 0.03)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.02)"
"Epilepsy, Cryptogenic",82,27,0.10256410256410256,0.32926829268292684,-1,"('heat_diffusion', 0.02)","('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Peripheral Nervous System Diseases,54,5,0.4,0.09259259259259259,-1,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.02)"
Allodynia,84,19,0.16374269005847952,0.2261904761904762,-1,"('pdiamond', 0.01)","('pdiamond', 0.03)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Insulin Sensitivity,60,36,0.10317460317460317,0.6,-1,"('pdiamond', 0.01)","('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Chromophobe Renal Cell Carcinoma,128,72,0.05712050078247261,0.5625,-1,"('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.02)","('draw', 0.0)","('heat_diffusion', 0.02)","('heat_diffusion', 0.04)","('heat_diffusion', 0.02)","('draw', 0.0)"
Anaplastic carcinoma,163,135,0.06898839137645107,0.8282208588957055,-1,"('pdiamond', 0.06)","('pdiamond', 0.05)","('pdiamond', 0.02)","('heat_diffusion', 0.01)","('pdiamond', 0.02)","('heat_diffusion', 0.02)","('heat_diffusion', 0.01)","('draw', 0.0)"
Spontaneous abortion,109,22,0.09956709956709957,0.2018348623853211,-1,"('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.01)"
Arsenic Poisoning,62,20,0.10526315789473684,0.3225806451612903,-1,"('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Ischemia,28,12,0.21212121212121213,0.42857142857142855,-1,"('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.03)","('pdiamond', 0.05)","('pdiamond', 0.03)"
Sarcomatoid Renal Cell Carcinoma,128,72,0.05712050078247261,0.5625,-1,"('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Epilepsy, Temporal Lobe",23,2,1.0,0.08695652173913043,-1,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.04)"
"Encephalopathy, Toxic",29,6,0.3333333333333333,0.20689655172413793,-1,"('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Epileptic encephalopathy,30,6,0.3333333333333333,0.2,-1,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.02)","('heat_diffusion', 0.04)","('heat_diffusion', 0.03)","('heat_diffusion', 0.04)"
Developmental Disabilities,30,4,0.5,0.13333333333333333,-1,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.01)"
Neuroblastoma,47,35,0.10756302521008404,0.7446808510638298,-1,"('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.04)"
Neoplastic Cell Transformation,139,104,0.07374906646751307,0.7482014388489209,-1,"('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Cocaine-Related Disorders,117,55,0.06599326599326599,0.4700854700854701,-1,"('heat_diffusion', 0.02)","('heat_diffusion', 0.01)","('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.02)","('heat_diffusion', 0.01)"
Crohn's disease of the ileum,44,6,0.4,0.13636363636363635,-1,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Early Pregnancy Loss,109,22,0.09956709956709957,0.2018348623853211,-1,"('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Colorectal Carcinoma,702,504,0.014405629713780807,0.717948717948718,-1,"('draw', 0.0)","('pdiamond', 0.01)","('heat_diffusion', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)"
Bilateral Wilms Tumor,29,14,0.14285714285714285,0.4827586206896552,-1,"('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Carcinoid, Goblet Cell",22,0,0,0.0,-1,"('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Fibrosis, Liver",105,50,0.061224489795918366,0.47619047619047616,-1,"('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Acute Confusional Senile Dementia,99,59,0.06779661016949153,0.5959595959595959,-1,"('pdiamond', 0.03)","('pdiamond', 0.01)","('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Hyalinosis, Segmental Glomerular",28,14,0.23076923076923078,0.5,-1,"('heat_diffusion', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Lymphatic Metastasis,26,10,0.2222222222222222,0.38461538461538464,-1,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.03)","('pdiamond', 0.04)","('pdiamond', 0.06)","('pdiamond', 0.07)"
Chemically-Induced Liver Toxicity,404,229,0.023404581322301388,0.5668316831683168,-1,"('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('heat_diffusion', 0.01)","('heat_diffusion', 0.06)","('heat_diffusion', 0.03)","('heat_diffusion', 0.02)","('heat_diffusion', 0.01)"
Familial Idiopathic Pulmonary Fibrosis,20,6,0.4,0.3,-1,"('pdiamond', 0.01)","('draw', 0.0)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Calcinosis,42,15,0.2,0.35714285714285715,-1,"('pdiamond', 0.02)","('pdiamond', 0.01)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Simple Partial Status Epilepticus,67,23,0.11462450592885376,0.34328358208955223,-1,"('heat_diffusion', 0.01)","('heat_diffusion', 0.02)","('heat_diffusion', 0.02)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Desmoplastic Medulloblastoma,43,26,0.16923076923076924,0.6046511627906976,-1,"('pdiamond', 0.04)","('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.01)","('draw', 0.0)","('heat_diffusion', 0.03)","('heat_diffusion', 0.02)","('heat_diffusion', 0.01)"
"Carcinoma, Ovarian Epithelial",30,10,0.24444444444444444,0.3333333333333333,-1,"('pdiamond', 0.03)","('pdiamond', 0.03)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.04)","('pdiamond', 0.06)"
Microcalcification,42,15,0.2,0.35714285714285715,-1,"('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Ovarian Mucinous Adenocarcinoma,31,6,0.3333333333333333,0.1935483870967742,-1,"('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.03)","('draw', 0.0)","('draw', 0.0)"
Diabetes Mellitus,32,7,0.2857142857142857,0.21875,-1,"('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.02)"
Female infertility,28,12,0.3333333333333333,0.42857142857142855,-1,"('pdiamond', 0.01)","('pdiamond', 0.03)","('pdiamond', 0.02)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.01)"
Malignant neoplasm of breast,1074,882,0.015561578396019777,0.8212290502793296,-1,"('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)"
Single Seizure,101,28,0.07671957671957672,0.27722772277227725,-1,"('draw', 0.0)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Hearing Loss, Extreme",20,1,0,0.05,-1,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
