Disease,Num disease genes,LCC_size,Density,Disgenes Percentage,Longpath LCC,Longpath interactome,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
"Osteoporosis, Senile",61,26,1.076.923.076.923.070,4.262.295.081.967.210,4.0,13.0,"('diamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Parkinson Disease,85,45,9.090.909.090.909.090,5.294.117.647.058.820,4.0,10.0,"('draw', 0.0)","('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('diamond', 0.08)","('diamond', 0.08)","('pdiamond', 0.01)","('pdiamond', 0.07)"
"Hepatoma, Novikoff",110,40,1.358.974.358.974.350,36.363.636.363.636.300,4.0,8.0,"('draw', 0.0)","('pdiamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Malignant neoplasm of prostate,616,543,23.472.168.423.341.600,8.814.935.064.935.060,9.0,12.0,"('diamond', 0.04)","('diamond', 0.04)","('diamond', 0.02)","('draw', 0.0)","('diamond', 0.2)","('diamond', 0.2)","('diamond', 0.14)","('pdiamond', 0.01)"
Pneumonia,54,11,0.2,2.037.037.037.037.030,3.0,8.0,"('diamond', 0.05)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.04)","('pdiamond', 0.06)","('pdiamond', 0.1)"
Carcinomatosis,163,135,6.898.839.137.645.100,8.282.208.588.957.050,7.0,10.0,"('pdiamond', 0.03)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Dermatitis, Allergic Contact",67,3,6.666.666.666.666.660,4.477.611.940.298.500,1.0,9.0,"('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.02)"
Atrial Fibrillation,160,77,36.226.930.963.773.000,802.05.00,6.0,12.0,"('diamond', 0.01)","('diamond', 0.01)","('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('pdiamond', 0.02)","('diamond', 0.06)","('diamond', 0.04)"
Craniofacial Abnormalities,156,99,39.991.754.277.468.500,6.346.153.846.153.840,7.0,9.0,"('diamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.02)"
Skin Neoplasms,59,40,858.974.358.974.359,6.779.661.016.949.150,4.0,8.0,"('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('pdiamond', 0.02)","('pdiamond', 0.01)","('diamond', 0.05)"
Malignant mesothelioma,109,63,6.656.426.011.264.720,5.779.816.513.761.460,4.0,9.0,"('diamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('pdiamond', 0.02)","('diamond', 0.02)","('pdiamond', 0.01)"
Tonic - clonic seizures,104,29,7.389.162.561.576.350,27.884.615.384.615.300,4.0,10.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.04)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.02)"
"Adenocarcinoma, Basal Cell",116,88,8.098.223.615.464.990,7.586.206.896.551.720,6.0,9.0,"('draw', 0.0)","('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Seizures, Auditory",101,28,7.671.957.671.957.670,27.722.772.277.227.700,4.0,10.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Alzheimer's Disease,101,60,6.666.666.666.666.660,594.059.405.940.594,6.0,8.0,"('diamond', 0.03)","('diamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.12)","('diamond', 0.06)","('diamond', 0.07)","('diamond', 0.08)"
"Epilepsy, Cryptogenic",82,27,10.256.410.256.410.200,32.926.829.268.292.600,3.0,9.0,"('diamond', 0.03)","('diamond', 0.02)","('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.02)","('diamond', 0.01)"
Peripheral Nervous System Diseases,54,5,0.4,9.259.259.259.259.250,2.0,9.0,"('draw', 0.0)","('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('pdiamond', 0.04)","('pdiamond', 0.02)","('diamond', 0.01)","('draw', 0.0)"
Allodynia,84,19,16.374.269.005.847.900,2.261.904.761.904.760,4.0,10.0,"('diamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Insulin Sensitivity,60,36,10.317.460.317.460.300,0.6,6.0,9.0,"('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Chromophobe Renal Cell Carcinoma,128,72,5.712.050.078.247.260,93.45.00,6.0,11.0,"('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.02)","('draw', 0.0)","('pdiamond', 0.01)"
Anaplastic carcinoma,163,135,6.898.839.137.645.100,8.282.208.588.957.050,7.0,10.0,"('pdiamond', 0.04)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.04)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)"
Spontaneous abortion,109,22,9.956.709.956.709.950,2.018.348.623.853.210,3.0,12.0,"('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.01)","('diamond', 0.01)"
Manic Disorder,71,18,1.111.111.111.111.110,2.535.211.267.605.630,2.0,10.0,"('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Cocaine Abuse,127,62,5.711.263.881.544.150,4.881.889.763.779.520,7.0,8.0,"('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)"
Acute Cerebrovascular Accidents,54,16,16.666.666.666.666.600,2.962.962.962.962.960,2.0,8.0,"('diamond', 0.03)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.01)","('pdiamond', 0.01)"
Brain Ischemia,60,39,11.605.937.921.727.300,1.05,5.0,7.0,"('pdiamond', 0.02)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.12)","('diamond', 0.04)","('diamond', 0.01)","('pdiamond', 0.03)"
"Hyperalgesia, Primary",84,19,16.374.269.005.847.900,2.261.904.761.904.760,4.0,10.0,"('pdiamond', 0.02)","('pdiamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Nonsyndromic Deafness,81,9,2.222.222.222.222.220,1.111.111.111.111.110,2.0,10.0,"('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Vertiginous seizure,101,28,7.671.957.671.957.670,27.722.772.277.227.700,4.0,10.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Non-Convulsive Status Epilepticus,67,23,11.462.450.592.885.300,34.328.358.208.955.200,3.0,9.0,"('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Amphetamine Addiction,75,13,16.666.666.666.666.600,17.333.333.333.333.300,2.0,11.0,"('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Carcinoma, Cribriform",116,88,8.098.223.615.464.990,7.586.206.896.551.720,6.0,9.0,"('pdiamond', 0.03)","('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)"
Mouth Neoplasms,54,32,15.725.806.451.612.900,5.925.925.925.925.920,5.0,6.0,"('diamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.08)","('diamond', 0.1)","('diamond', 0.04)","('diamond', 0.01)"
Amyotrophic Lateral Sclerosis,58,35,1.546.218.487.394.950,603.448.275.862.069,3.0,7.0,"('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.08)","('pdiamond', 0.06)","('pdiamond', 0.05)"
Ovarian Serous Adenocarcinoma,23,7,2.857.142.857.142.850,30.434.782.608.695.600,2.0,5.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('draw', 0.0)","('diamond', 0.01)","('diamond', 0.01)"
"Condition, Preneoplastic",110,53,59.506.531.204.644.400,4.818.181.818.181.810,6.0,10.0,"('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.08)","('pdiamond', 0.04)","('pdiamond', 0.01)","('pdiamond', 0.01)"
Mycoplasma-Induced Stevens-Johnson Syndrome,29,23,25.296.442.687.747.000,7.931.034.482.758.620,4.0,5.0,"('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Respiratory Hypersensitivity,22,4,0.5,18.181.818.181.818.100,1.0,7.0,"('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Hyperglycemia, Postprandial",30,3,6.666.666.666.666.660,0.1,2.0,7.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Primary microcephaly,22,15,23.809.523.809.523.800,6.818.181.818.181.810,3.0,6.0,"('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)"
"Necrotizing encephalopathy, infantile subacute, of Leigh",36,29,4.802.955.665.024.630,8.055.555.555.555.550,3.0,5.0,"('diamond', 0.03)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Disorder of eye,212,75,4.432.432.432.432.430,35.377.358.490.566.000,4.0,14.0,"('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)","('diamond', 0.01)","('diamond', 0.04)","('diamond', 0.02)","('diamond', 0.01)","('diamond', 0.01)"
Childhood Acute Lymphoblastic Leukemia,52,30,12.183.908.045.977.000,5.769.230.769.230.760,4.0,8.0,"('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.04)","('diamond', 0.02)","('diamond', 0.09)","('diamond', 0.02)"
Arsenic Encephalopathy,62,20,10.526.315.789.473.600,3.225.806.451.612.900,3.0,9.0,"('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Paroxysmal atrial fibrillation,156,77,36.226.930.963.773.000,4.935.897.435.897.430,6.0,12.0,"('diamond', 0.01)","('diamond', 0.02)","('diamond', 0.01)","('diamond', 0.01)","('diamond', 0.04)","('diamond', 0.02)","('diamond', 0.01)","('diamond', 0.02)"
"Mammary Neoplasms, Human",525,443,30.101.222.638.734.200,8.438.095.238.095.230,9.0,12.0,"('diamond', 0.09)","('diamond', 0.02)","('diamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Spinocerebellar Ataxia Type 4,35,14,17.582.417.582.417.500,0.4,3.0,6.0,"('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Myocardial Reperfusion Injury,85,27,11.396.011.396.011.300,3.176.470.588.235.290,4.0,7.0,"('pdiamond', 0.02)","('pdiamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.02)"
Left Middle Cerebral Artery Infarction,34,6,0.4,17.647.058.823.529.400,1.0,9.0,"('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)"
IGA Glomerulonephritis,34,7,3.333.333.333.333.330,20.588.235.294.117.600,2.0,8.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.04)","('diamond', 0.08)","('diamond', 0.08)"
Glioblastoma Multiforme,111,80,60.126.582.278.481.000,7.207.207.207.207.200,5.0,12.0,"('pdiamond', 0.01)","('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.06)","('diamond', 0.12)","('diamond', 0.07)"
Schizophrenia,883,672,12.716.450.216.450.200,7.610.419.026.047.560,10.0,13.0,"('diamond', 0.03)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.01)","('diamond', 0.04)","('pdiamond', 0.12)","('pdiamond', 0.04)","('diamond', 0.03)"
Involutional Depression,25,3,6.666.666.666.666.660,0.12,2.0,6.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Kidney Failure,22,5,0.5,22.727.272.727.272.700,1.0,6.0,"('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.02)","('diamond', 0.02)","('draw', 0.0)"
Stevens-Johnson Syndrome,30,23,25.296.442.687.747.000,7.666.666.666.666.660,4.0,5.0,"('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Fibrillary Astrocytoma,26,18,21.568.627.450.980.300,6.923.076.923.076.920,4.0,9.0,"('diamond', 0.01)","('diamond', 0.02)","('diamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)"
Arsenic Poisoning,62,20,10.526.315.789.473.600,3.225.806.451.612.900,3.0,9.0,"('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Ischemia,28,12,21.212.121.212.121.200,42.857.142.857.142.800,3.0,9.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('pdiamond', 0.02)","('pdiamond', 0.03)","('pdiamond', 0.02)"
Sarcomatoid Renal Cell Carcinoma,128,72,5.712.050.078.247.260,93.45.00,6.0,11.0,"('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Epilepsy, Temporal Lobe",23,2,1.0,8.695.652.173.913.040,1.0,6.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.04)","('pdiamond', 0.02)","('pdiamond', 0.04)","('pdiamond', 0.06)"
"Encephalopathy, Toxic",29,6,3.333.333.333.333.330,20.689.655.172.413.700,4.0,7.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Epileptic encephalopathy,30,6,3.333.333.333.333.330,0.2,1.0,7.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.04)","('diamond', 0.02)","('diamond', 0.01)"
Developmental Disabilities,30,4,0.5,13.333.333.333.333.300,1.0,6.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.04)","('pdiamond', 0.02)","('pdiamond', 0.05)","('pdiamond', 0.03)"
Neuroblastoma,47,35,10.756.302.521.008.400,7.446.808.510.638.290,5.0,8.0,"('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.16)","('diamond', 0.1)","('diamond', 0.13)","('diamond', 0.01)"
Neoplastic Cell Transformation,139,104,7.374.906.646.751.300,7.482.014.388.489.200,5.0,9.0,"('diamond', 0.01)","('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Cocaine-Related Disorders,117,55,6.599.326.599.326.590,4.700.854.700.854.700,7.0,8.0,"('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Crohn's disease of the ileum,44,6,0.4,13.636.363.636.363.600,2.0,9.0,"('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)"
Early Pregnancy Loss,109,22,9.956.709.956.709.950,2.018.348.623.853.210,3.0,12.0,"('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Colorectal Carcinoma,702,504,14.405.629.713.780.800,717.948.717.948.718,9.0,13.0,"('diamond', 0.02)","('diamond', 0.03)","('diamond', 0.03)","('diamond', 0.01)","('pdiamond', 0.24)","('diamond', 0.04)","('diamond', 0.11)","('diamond', 0.15)"
Bilateral Wilms Tumor,29,14,14.285.714.285.714.200,4.827.586.206.896.550,2.0,7.0,"('pdiamond', 0.01)","('draw', 0.0)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Carcinoid, Goblet Cell",22,0,0,0.0,0,0,"('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Fibrosis, Liver",105,50,61.224.489.795.918.300,47.619.047.619.047.600,5.0,9.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.08)","('pdiamond', 0.04)","('pdiamond', 0.06)","('pdiamond', 0.07)"
Acute Confusional Senile Dementia,99,59,6.779.661.016.949.150,5.959.595.959.595.950,6.0,8.0,"('diamond', 0.04)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Hyalinosis, Segmental Glomerular",28,14,23.076.923.076.923.000,0.5,2.0,6.0,"('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Lymphatic Metastasis,26,10,2.222.222.222.222.220,38.461.538.461.538.400,3.0,9.0,"('draw', 0.0)","('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('pdiamond', 0.12)","('draw', 0.0)","('diamond', 0.01)","('pdiamond', 0.01)"
Chemically-Induced Liver Toxicity,404,229,23.404.581.322.301.300,5.668.316.831.683.160,8.0,11.0,"('diamond', 0.02)","('diamond', 0.02)","('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Familial Idiopathic Pulmonary Fibrosis,20,6,0.4,0.3,2.0,8.0,"('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Calcinosis,42,15,0.2,35.714.285.714.285.700,3.0,7.0,"('diamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Simple Partial Status Epilepticus,67,23,11.462.450.592.885.300,34.328.358.208.955.200,3.0,9.0,"('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Desmoplastic Medulloblastoma,43,26,16.923.076.923.076.900,6.046.511.627.906.970,3.0,7.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.02)","('diamond', 0.01)","('draw', 0.0)"
"Carcinoma, Ovarian Epithelial",30,10,24.444.444.444.444.400,3.333.333.333.333.330,4.0,7.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.08)","('pdiamond', 0.02)","('pdiamond', 0.06)","('pdiamond', 0.09)"
Microcalcification,42,15,0.2,35.714.285.714.285.700,3.0,7.0,"('diamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Ovarian Mucinous Adenocarcinoma,31,6,3.333.333.333.333.330,1.935.483.870.967.740,2.0,6.0,"('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.01)","('draw', 0.0)"
Diabetes Mellitus,32,7,2.857.142.857.142.850,364.35.00,2.0,11.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.12)","('diamond', 0.1)","('diamond', 0.13)","('pdiamond', 0.04)"
Female infertility,28,12,3.333.333.333.333.330,42.857.142.857.142.800,3.0,8.0,"('pdiamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
Malignant neoplasm of breast,1074,882,15.561.578.396.019.700,8.212.290.502.793.290,12.0,14.0,"('diamond', 0.07)","('diamond', 0.04)","('diamond', 0.01)","('pdiamond', 0.02)","('diamond', 0.12)","('diamond', 0.16)","('pdiamond', 0.03)","('pdiamond', 0.1)"
Single Seizure,101,28,7.671.957.671.957.670,27.722.772.277.227.700,4.0,10.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Hearing Loss, Extreme",20,1,0,0.05,0,5.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
